0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp10k_correct,llama_7B_sharegpt_xc_20000/ckp10k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.3947778,0.3483902,0.13643156,0.120400436
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.40528908,0.29651585,0.14909753,0.14909753
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.4357387,0.28133407,0.14146365,0.14146365
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.3354948,0.2960731,0.0902972,0.27813494
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.4633761,0.38415226,0.085715964,0.06675566
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.21439189,0.40053675,0.15685244,0.22821897
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.28108826,0.28108826,0.21891177,0.21891177
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.33170816,0.40011644,0.13827655,0.12989879
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.31513393,0.40464,0.13136737,0.14885874
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.41251615,0.30180326,0.13392438,0.15175621
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.44699916,0.3705753,0.099739,0.082686536
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.38109592,0.33631596,0.15886441,0.12372373
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.36285838,0.30082014,0.14209738,0.1942241
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.31132805,0.18883002,0.14706096,0.3527809
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.36121953,0.36121953,0.1602902,0.117270805
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.42836607,0.33361182,0.12272894,0.11529317
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.36753565,0.44333264,0.11209205,0.07703966
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.46851104,0.32200262,0.11128113,0.098205246
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.44220036,0.30391958,0.1348635,0.11901662
