0,1,2,3,4,5,llama_7B_alpaca_20000_2/ckp15k_correct,llama_7B_alpaca_20000_2/ckp15k_choiceA_probs,llama_7B_alpaca_20000_2/ckp15k_choiceB_probs,llama_7B_alpaca_20000_2/ckp15k_choiceC_probs,llama_7B_alpaca_20000_2/ckp15k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.115045644,0.5488521,0.04232293,0.29377937
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.032703523,0.89783186,0.0044259406,0.065038726
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.17692728,0.51195604,0.06928571,0.2418309
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.053744648,0.65474385,0.018573655,0.27293783
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.120304935,0.6109589,0.093693584,0.17504266
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.11238856,0.6884634,0.025077278,0.1740708
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.18704683,0.65285754,0.014423503,0.14567222
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.056096427,0.46968964,0.05971434,0.41449964
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.10725797,0.51169914,0.050665077,0.3303778
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.078253694,0.5431883,0.06905864,0.30949935
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.112927444,0.6498526,0.07291144,0.16430846
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.23959449,0.47649053,0.044320524,0.23959449
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.054450545,0.8001449,0.022698365,0.1227062
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.15881918,0.35790452,0.05156104,0.43171528
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.05951501,0.26672775,0.03391063,0.6398466
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.10686253,0.4226495,0.07344547,0.39704245
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.21683368,0.43122527,0.09038973,0.26155135
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.08178745,0.7289636,0.016104905,0.17314403
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.14477809,0.50532514,0.023634372,0.32626244
