0,1,2,3,4,5,llama_7B_wizardlm_20000/ckp10k_correct,llama_7B_wizardlm_20000/ckp10k_choiceA_probs,llama_7B_wizardlm_20000/ckp10k_choiceB_probs,llama_7B_wizardlm_20000/ckp10k_choiceC_probs,llama_7B_wizardlm_20000/ckp10k_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.32354632,0.22236992,0.4154417,0.038642097
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.31894505,0.281468,0.31894505,0.08064194
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,False,0.34027869,0.30029488,0.30029488,0.05913157
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.38032424,0.29619682,0.26139277,0.06208623
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.43408063,0.29833898,0.20504516,0.06253525
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.28577504,0.19641012,0.4711634,0.046651494
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.30889365,0.2725977,0.2725977,0.14591102
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.38443434,0.23317122,0.3392621,0.04313234
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,False,0.34782434,0.21096614,0.3941366,0.047072906
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.42089215,0.28927466,0.22528735,0.06454591
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,False,0.39733443,0.2126778,0.3506464,0.039341435
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,False,0.3467166,0.27002317,0.3467166,0.03654366
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.4782056,0.29004636,0.18726799,0.04448005
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.3833679,0.23252438,0.33832097,0.04578677
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.34748596,0.27062234,0.34748596,0.03440577
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.31424215,0.24473205,0.40349492,0.037530877
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.40649223,0.21757962,0.27937776,0.09655037
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.3043254,0.23700887,0.39076155,0.067904174
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.3346837,0.29535732,0.3346837,0.0352754
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.3707931,0.25484213,0.32722375,0.047141057
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.23849851,0.23849851,0.44557387,0.07742913
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.34315488,0.2672493,0.34315488,0.046440963
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.40212718,0.2763777,0.2763777,0.04511742
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.5441468,0.20018041,0.22683412,0.028838722
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.35528365,0.3135367,0.2766952,0.054484513
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,True,0.37456012,0.29170772,0.29170772,0.042024482
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.17209482,0.2837364,0.46780223,0.07636662
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.37456012,0.29170772,0.29170772,0.042024482
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.37380588,0.32988253,0.25691277,0.03939885
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.45194596,0.21348415,0.31061763,0.023952259
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.33222714,0.20150594,0.4265881,0.039678875
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.44223818,0.268231,0.23671305,0.05281782
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.37247592,0.29008454,0.29008454,0.047355
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.40863448,0.2808501,0.24784935,0.06266613
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.32366166,0.2856304,0.2856304,0.10507756
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.32407317,0.25238845,0.367223,0.05631547
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.39672047,0.24062313,0.30896622,0.053690277
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.34748596,0.34748596,0.27062234,0.03440577
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.32106245,0.28333664,0.36381143,0.03178949
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.36684275,0.22250138,0.36684275,0.04381312
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.39632884,0.21213955,0.34975895,0.04177275
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.39413664,0.34782436,0.21096615,0.04707291
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.322742,0.22181712,0.41440892,0.041032042
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.33311892,0.25943327,0.33311892,0.07432888
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.37380588,0.25691277,0.32988253,0.03939885
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.3351562,0.23034927,0.37978175,0.05471275
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.34952042,0.24022163,0.34952042,0.060737543
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.40528223,0.31563413,0.2458161,0.03326759
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.42698848,0.22855048,0.2934646,0.050996505
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.34213012,0.2664512,0.34213012,0.04928852
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.35531238,0.24420239,0.35531238,0.0451729
