0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.07518219,0.0313406,0.085192576,0.8082847
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.15527378,0.2900896,0.3287146,0.22592203
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.14572826,0.16513176,0.44887465,0.2402653
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.1748777,0.1748777,0.47536686,0.1748777
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.34786686,0.14501248,0.11293584,0.3941848
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.40067968,0.18926768,0.24302451,0.16702813
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.34115916,0.34115916,0.11075816,0.2069235
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.07090582,0.03795315,0.6727357,0.2184053
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.6444712,0.14380097,0.14380097,0.067926764
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.33762053,0.29794908,0.29794908,0.06648143
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.34040636,0.23395765,0.30040756,0.12522851
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.039556257,0.0837406,0.2579392,0.618764
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.16344157,0.18520358,0.30534908,0.34600583
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.42426318,0.22709173,0.22709173,0.121553436
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.073533535,0.073533535,0.47949886,0.3734341
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.1686314,0.2780262,0.40452573,0.1488167
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.3258638,0.13584025,0.41841742,0.119878605
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.5013271,0.30407026,0.067847244,0.12675534
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.23439533,0.23439533,0.2656047,0.2656047
