0,1,2,3,4,5,llama_7B_alpacalong_20000_2/ckp10k_correct,llama_7B_alpacalong_20000_2/ckp10k_choiceA_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceB_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceC_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.41916218,0.15420115,0.36990932,0.05672743
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.54860675,0.15717848,0.25914347,0.035071254
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.39923462,0.15634252,0.37504622,0.06937657
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.47371924,0.15379412,0.32558218,0.046904556
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.41431513,0.15241802,0.36563182,0.06763509
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.46749127,0.15177219,0.32130176,0.059434846
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.4716405,0.16299461,0.32415345,0.041211486
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.41077408,0.15111534,0.38588655,0.052224066
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.47229052,0.15333028,0.32460022,0.049779054
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.41779202,0.1636097,0.36870018,0.049898144
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.37916282,0.15805858,0.42964777,0.03313088
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.44132996,0.14327885,0.36587536,0.04951585
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.45644757,0.14818683,0.3554817,0.03988394
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.47471157,0.17463663,0.30649683,0.044155058
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.41072923,0.17121741,0.36246726,0.055586156
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.38980585,0.15265016,0.38980585,0.0677381
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.40150663,0.15723225,0.40150663,0.03975454
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.36246726,0.17121741,0.41072923,0.055586156
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.4513348,0.14652696,0.3514999,0.050638363
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.44976065,0.15543313,0.35027394,0.044532336
