0,1,2,3,4,5,llama_7B_alpacalong_20000_2/ckp10k_correct,llama_7B_alpacalong_20000_2/ckp10k_choiceA_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceB_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceC_probs,llama_7B_alpacalong_20000_2/ckp10k_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,False,0.40428436,0.14872791,0.3567797,0.09020804
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.3495755,0.13689573,0.4488638,0.06466497
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.37941852,0.17922461,0.37941852,0.06193837
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.552042,0.11571429,0.27758417,0.05465956
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,False,0.50837064,0.18701911,0.2721112,0.032499045
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.3395994,0.11736241,0.49411422,0.048923936
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,False,0.43450895,0.10320492,0.43450895,0.027777227
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,True,0.45812783,0.1397211,0.3567903,0.0453608
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.48172584,0.15639348,0.33108503,0.0307957
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.5216903,0.123912305,0.2792407,0.07515662
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.4488638,0.13689573,0.3495755,0.06466497
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.43036538,0.20329021,0.3351689,0.031175565
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.33745587,0.1806271,0.4333019,0.048615128
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.28661776,0.13538864,0.4725528,0.10544079
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.3930821,0.163861,0.3930821,0.049974784
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.5498661,0.14799444,0.25973833,0.04240112
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.47597975,0.13637048,0.32713577,0.060514037
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.5195687,0.17955814,0.2305572,0.07031597
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.41988853,0.099732265,0.41988853,0.06049068
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.5162447,0.12261886,0.31311825,0.04801824
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.29159608,0.17686196,0.4242698,0.1072722
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.51169914,0.10725797,0.3303778,0.050665077
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.3384528,0.18116072,0.43458197,0.0458046
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.4243462,0.20044695,0.33048117,0.04472576
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.35232773,0.20075029,0.39923963,0.047682375
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.5080704,0.17558445,0.2719505,0.044394698
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.71592116,0.09101917,0.15006523,0.042994406
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,False,0.5371867,0.077389084,0.36920264,0.016221633
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.5506618,0.095690675,0.31375766,0.03988981
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.32189038,0.18340762,0.41331545,0.08138664
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.45353654,0.16684677,0.33181444,0.0478024
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.37772077,0.20217937,0.37772077,0.042379096
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,True,0.32256323,0.19564448,0.41417938,0.06761292
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.31605297,0.16917098,0.45985436,0.054921772
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.38897142,0.17260502,0.38897142,0.049452167
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.3552208,0.13067843,0.45611253,0.057988204
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.42334118,0.11394074,0.42334118,0.039376866
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.50199574,0.14382419,0.3044758,0.04970431
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.4959111,0.13347267,0.34083438,0.029781776
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.32856816,0.12866913,0.47806382,0.064698905
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.3491654,0.16493405,0.3491654,0.13673514
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.36410344,0.17199029,0.3875861,0.07632022
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.4219749,0.15523589,0.37239152,0.050397716
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.4816103,0.2274966,0.2744133,0.016479798
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.53958845,0.15459469,0.2713221,0.034494735
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.37057242,0.14511825,0.41991356,0.06439583
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.4020404,0.1479024,0.4020404,0.04801688
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.3858323,0.18225427,0.3858323,0.0460811
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.35522386,0.16779587,0.40252137,0.07445897
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.41487202,0.12652883,0.41487202,0.04372719
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.43836606,0.12559398,0.38685668,0.04918331
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.5190772,0.21638356,0.16851969,0.096019626
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.43242338,0.14038731,0.3816123,0.045577087
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.43051213,0.13129878,0.3799256,0.05826348
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.3605153,0.15997769,0.40851736,0.070989676
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.50940984,0.13710581,0.3089727,0.044511735
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.4939524,0.13294548,0.3394882,0.033613883
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.5347062,0.1351949,0.28620762,0.043891355
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,False,0.5652454,0.14291641,0.267003,0.024835149
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.5179632,0.1790033,0.27724573,0.025787868
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.41417938,0.19564448,0.32256323,0.06761292
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.42689717,0.13859321,0.37673542,0.05777425
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.32558212,0.1537941,0.47371918,0.046904553
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.33397776,0.22953933,0.37844637,0.058036633
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.26051524,0.16820128,0.48670653,0.08457691
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.43281966,0.15922546,0.381962,0.02599284
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.48243752,0.13822067,0.33157414,0.047767784
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.38980585,0.15265016,0.38980585,0.0677381
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.32256323,0.19564448,0.41417938,0.06761292
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.5331569,0.13480316,0.30378366,0.028256278
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.28083795,0.19301692,0.43497032,0.09117473
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.4219749,0.15523589,0.37239152,0.050397716
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.4244887,0.15616067,0.37460995,0.044740777
