0,1,2,3,4,5,llama2_7B_ds_alpaca_combine_52000/epoch2_correct,llama2_7B_ds_alpaca_combine_52000/epoch2_choiceA_probs,llama2_7B_ds_alpaca_combine_52000/epoch2_choiceB_probs,llama2_7B_ds_alpaca_combine_52000/epoch2_choiceC_probs,llama2_7B_ds_alpaca_combine_52000/epoch2_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.010299457,0.14217964,0.12547308,0.72204775
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.30874085,0.27246287,0.39643112,0.022365114
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.24671501,0.59183854,0.07068504,0.090761386
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.00435269,0.60685754,0.32482743,0.06396231
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.08277887,0.17524286,0.37098914,0.37098914
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.774812,0.15256953,0.034042865,0.038575616
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.1504068,0.7638287,0.06269888,0.023065628
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.028226133,0.18405752,0.7279616,0.059754726
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.5013271,0.30407026,0.12675534,0.067847244
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.027804114,0.6328187,0.2989224,0.040454745
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.24688137,0.6710931,0.033411756,0.048613824
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.001791592,0.72277975,0.23465222,0.040776443
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.46228695,0.46228695,0.070894,0.0045321016
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.0093583325,0.9545759,0.013616294,0.022449475
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.002066022,0.83349276,0.019601872,0.14483932
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.11567167,0.6656445,0.070158415,0.14852537
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.018365836,0.47366115,0.47366115,0.0343119
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.35915437,0.59214544,0.010845522,0.03785459
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.027958455,0.9258568,0.035899363,0.01028534
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.36178136,0.52638876,0.048961785,0.06286817
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.005696951,0.48175278,0.48175278,0.030797424
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,True,0.02277729,0.7542802,0.054639876,0.16830267
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.40059763,0.35352618,0.16699393,0.07888235
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.8929292,0.07329609,0.030554356,0.0032204057
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.39564237,0.27192077,0.1455487,0.18688822
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.14362408,0.7293833,0.028281258,0.09871129
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.23035868,0.7095547,0.045360312,0.014726337
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.14640275,0.5109958,0.30993462,0.03266687
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.79240584,0.15603396,0.006855654,0.04470448
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.5361562,0.3684944,0.056510445,0.038839024
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.6094599,0.19786265,0.13598889,0.056688603
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,True,0.14664404,0.45169547,0.18829468,0.21336582
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.25337893,0.60782444,0.082260095,0.056536485
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.029100435,0.4017191,0.16746143,0.4017191
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.17739862,0.619182,0.0652613,0.13815819
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.30601364,0.18560666,0.2700561,0.23832366
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.16254121,0.7284592,0.08700205,0.021997562
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.46443212,0.4098599,0.06285405,0.06285405
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,True,0.021621859,0.10980486,0.43428665,0.43428665
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,True,0.00030722274,0.21752587,0.75923985,0.022927057
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,True,0.36923268,0.5372304,0.020830682,0.07270622
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.57899386,0.3099131,0.069150954,0.041942175
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.0076209255,0.052899707,0.111988686,0.8274907
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.8006083,0.108350545,0.051181175,0.03985994
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,True,0.064502366,0.28907955,0.10634642,0.54007167
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,True,0.022683304,0.5162696,0.14791372,0.31313336
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,True,0.10079954,0.032724816,0.022491416,0.8439842
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.54489595,0.37450114,0.07374365,0.006859228
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,False,0.00050869695,0.9197456,0.066626154,0.013119467
Find the product of 5 • (−9).,14,−4,45,−45,D,False,0.24751443,0.4624178,0.28047058,0.009597175
