0,1,2,3,4,5,llama_7B_wizardlm_20000/ckp10k_correct,llama_7B_wizardlm_20000/ckp10k_choiceA_probs,llama_7B_wizardlm_20000/ckp10k_choiceB_probs,llama_7B_wizardlm_20000/ckp10k_choiceC_probs,llama_7B_wizardlm_20000/ckp10k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.5520621,0.23013371,0.2030923,0.0147119565
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.3668293,0.25211784,0.3668293,0.014223516
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.43750834,0.13343251,0.41100106,0.018058125
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.30386418,0.1731366,0.50098735,0.022011848
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.37164178,0.12065442,0.4771975,0.030506214
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.3549807,0.17849551,0.45580426,0.010719489
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.6096758,0.22428721,0.15415019,0.011886786
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.32098913,0.13380818,0.5292216,0.015981108
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.44358954,0.26905066,0.26905066,0.018309126
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.37897798,0.22986177,0.37897798,0.012182228
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.33449635,0.20288227,0.4295018,0.033119623
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.33096167,0.33096167,0.31090972,0.027166989
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.34022194,0.21966381,0.41038603,0.029728265
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.44221863,0.30393213,0.23670259,0.017146677
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.35744065,0.16884302,0.4589629,0.014753339
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.3619241,0.14173152,0.46471974,0.031624574
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.35548997,0.27685586,0.35548997,0.012164198
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.38488597,0.13301304,0.43613294,0.04596807
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.37869313,0.20269984,0.37869313,0.03991396
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.3628262,0.16100316,0.46587807,0.010292588
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.32098913,0.13380818,0.5292216,0.015981108
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.37658975,0.15698597,0.4267321,0.039692268
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.45382994,0.147337,0.37623823,0.022594862
