0,1,2,3,4,5,alpacacode_llama2_chat_7B_correct,alpacacode_llama2_chat_7B_choiceA_probs,alpacacode_llama2_chat_7B_choiceB_probs,alpacacode_llama2_chat_7B_choiceC_probs,alpacacode_llama2_chat_7B_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.15301731,0.4713265,0.15301731,0.22263888
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.038970795,0.78274935,0.17465499,0.0036248486
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.030541943,0.7876871,0.17575675,0.0060140654
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.2764082,0.35491514,0.35491514,0.013761553
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.19918945,0.6135467,0.13690078,0.05036298
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.041273534,0.30497247,0.6456267,0.008127241
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.20555906,0.7174716,0.06673526,0.010234183
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.0021656952,0.00588697,0.99003613,0.0019112193
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.5606517,0.38532993,0.046021096,0.007997267
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.079233654,0.751748,0.16773766,0.0012806929
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.06323196,0.5294347,0.3638748,0.043458644
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.005067825,0.27669385,0.66375405,0.05448425
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.15726894,0.6220107,0.2019373,0.018783096
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.306247,0.5721447,0.09942384,0.022184456
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.048800036,0.40859768,0.5246498,0.017952528
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.007419384,0.8575642,0.13151173,0.003504669
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.4221346,0.15529464,0.4221346,0.0004361907
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.36736903,0.5345188,0.08197111,0.016141068
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.23701407,0.73005474,0.032076366,0.00085480616
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.15254366,0.5324297,0.2849891,0.030037628
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.013283102,0.9312174,0.05253569,0.002963861
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,True,0.1976354,0.6898153,0.10578661,0.006762711
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.3965534,0.44935387,0.12874204,0.025350811
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.45937356,0.1689941,0.3577605,0.01387188
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.05852538,0.49002698,0.43244728,0.019000407
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.017888011,0.97665226,0.0039913547,0.0014683373
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.153242,0.153242,0.686783,0.0067329835
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.38898933,0.16215488,0.44078267,0.008073216
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.69291013,0.28884792,0.016295685,0.001946242
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.84011334,0.1459898,0.005660639,0.008236181
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,True,0.05696567,0.693984,0.2253036,0.023746826
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.6732099,0.28063563,0.043036867,0.0031175802
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.04939896,0.4136124,0.5310888,0.005899864
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.03759012,0.5880084,0.35664514,0.017756315
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.16708706,0.7488322,0.022612775,0.061467893
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.15423483,0.6912325,0.1201182,0.03441444
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.030990334,0.70533675,0.2594789,0.004194086
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.6271191,0.29623008,0.031222422,0.045428358
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.09991414,0.5749662,0.30775723,0.017362475
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.051509116,0.9130209,0.031241857,0.0042281253
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,True,0.19916244,0.78770274,0.009915714,0.0032191612
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.22188543,0.6834552,0.056101423,0.038557906
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.11472519,0.7481022,0.047824573,0.08934807
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,True,0.24779388,0.28078723,0.4629399,0.00847904
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,False,0.15926504,0.80881464,0.027676115,0.00424427
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,True,0.054305717,0.6615791,0.27578717,0.008328051
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,False,0.13613568,0.78340673,0.050081514,0.030375974
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.20237087,0.7063437,0.084360726,0.00692475
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,False,0.07112399,0.46378663,0.46378663,0.0013026812
Find the product of 5 • (−9).,14,−4,45,−45,D,False,0.034552388,0.8911178,0.0731474,0.0011823176
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,False,0.034242492,0.88312554,0.08214348,0.00048844295
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.19039859,0.21574987,0.58646894,0.0073825545
Which situation can be represented by the fraction 20/8?,Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,False,0.70072085,0.12176702,0.13798012,0.039531965
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",120 miles,80 miles,26 miles,12 miles,A,False,0.30434647,0.3907886,0.30434647,0.0005184907
Which step explains how to find the value of a in 6a = 72?,add 6 to both sides,divide both sides by 6,multiply both sides by 6,subtract 6 from both sides,B,False,0.0010158235,0.43624306,0.56014717,0.002593996
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,False,0.012732263,0.17576347,0.7877172,0.023787
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F at 10 P.M. Write and solve an equation to find t the temperature at 6 P.M.,84 − 11 = t; 73°F,t − 84 = 11; 95°F,84 − t = 11; 73°F,t − 11 = 84; 95°F,D,False,0.07716615,0.732132,0.18511197,0.005589897
Theresa had a bag of 72 marbles. She put the marbles into 9 equal groups. Which number sentence shows how to find the number of marbles Theresa put into each group?,72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,9 ÷ 72 = 0.125,A,True,0.68718517,0.2528013,0.056407593,0.0036060167
Rob uses 1 box of cat food every 5 days to feed his cats. Approximately how many boxes of cat food does he use per month?,2 boxes,4 boxes,5 boxes,6 boxes,D,False,0.016924111,0.1605715,0.81544936,0.0070550195
What is the least common multiple of 4 and 10?,14,20,40,60,B,False,0.6714822,0.2470245,0.08019712,0.0012962656
Find 4 over 7 + 2 over 7.,6 over 14,8 over 49,14 over 28,6 over 7,D,False,0.48125663,0.13788234,0.37480304,0.006058127
How many years are there in a decade?,5,10,15,20,B,True,0.012389511,0.98422074,0.0031325591,0.0002571361
There are 31 days in the month of January. Michelle did 45 push-ups each day of the month. She used the expression below to find the number of push-ups she did in January. 31 × 45 How many push-ups did Michelle do in the month of January?,125 push-ups,279 push-ups,"1,395 push-ups","1,406 push-ups",C,False,0.076103516,0.7220501,0.16111115,0.04073528
Two whole numbers have a least common multiple of 60. Each number is less than or equal to 12. The greatest common factor of the two numbersis 2. What are the two numbers?,6 and 10,5 and 12,10 and 12,12 and 15,C,False,0.86295724,0.13233878,0.004528384,0.0001755845
Evaluate −2(x − 3) for x = 2.,−4,−2,10,2,D,False,0.014034456,0.9838913,0.0016761768,0.00039812687
There are 230 calories in 4 ounces of a type of ice cream. How many calories are in 6 ounces of that ice cream?,232,236,345,460,C,False,0.26447898,0.6344521,0.09729639,0.0037725903
