0,1,2,3,4,5,llama_7B_ga_sharegpt_xc_20000/ckp5000_correct,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceA_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceB_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceC_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,True,0.412909,0.3643909,0.118300416,0.10439975
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,True,0.391554,0.5027653,0.018313225,0.08736751
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.18531287,0.64680547,0.023559889,0.14432181
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.59061205,0.21727404,0.042783797,0.14933011
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.53952193,0.37080765,0.025233777,0.064436704
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.24201919,0.58057386,0.039508548,0.13789837
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.23883584,0.12783962,0.06038716,0.5729374
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.7174391,0.2639311,0.011596323,0.0070335255
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.20899238,0.50134665,0.052841548,0.23681939
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.3066592,0.5729148,0.02086842,0.09955766
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.3394272,0.55962086,0.048899125,0.05205285
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,False,0.38067025,0.48879027,0.04012235,0.09041711
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.38801318,0.49821877,0.04634157,0.06742658
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.62330705,0.25983304,0.042416576,0.074443415
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,True,0.26697075,0.5651771,0.04938462,0.118467554
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.32856178,0.37230927,0.073312044,0.225817
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.98036146,0.015846066,0.0020146014,0.0017778795
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.7246984,0.23527513,0.01814247,0.021883996
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.5406224,0.42103717,0.01737828,0.020962205
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.97257906,0.017813407,0.0045039346,0.0051036268
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.3487939,0.5074921,0.03047727,0.1132368
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.9449111,0.026805066,0.018422833,0.0098610325
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.6180943,0.15627871,0.06934826,0.15627871
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.45196754,0.45196754,0.017524684,0.07854018
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.25800633,0.13810083,0.48201925,0.12187355
