0,1,2,3,4,5,llama2_7B_ds_sharegpt_qy_vic_52000/epoch3_correct,llama2_7B_ds_sharegpt_qy_vic_52000/epoch3_choiceA_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch3_choiceB_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch3_choiceC_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch3_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.05190823,0.014871957,0.013124456,0.9200954
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.13545366,0.22332531,0.5357296,0.105491415
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.027779894,0.18114766,0.4924104,0.298662
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.013131366,0.7169483,0.15997279,0.109947585
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.040880572,0.052491695,0.34228882,0.56433886
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.06443306,0.056861978,0.7849554,0.09374955
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.12469669,0.4352342,0.004835015,0.4352342
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.005015745,0.0020908734,0.95583177,0.03706162
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.028038332,0.928502,0.031771593,0.011688116
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.023012564,0.28035042,0.10313516,0.59350187
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.06114099,0.3518421,0.39868933,0.1883275
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.0030217264,0.013542438,0.837841,0.14559492
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.038104426,0.24847208,0.59605354,0.117369905
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.010499303,0.010499303,0.83406293,0.14493841
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.1520981,0.014147327,0.1520981,0.6816564
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.038406763,0.46789014,0.32157588,0.17212717
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.012985693,0.20313042,0.62568575,0.15819813
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.067765005,0.64293647,0.05277544,0.23652312
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.052524943,0.7250844,0.1111953,0.1111953
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.04967917,0.6052162,0.25229165,0.09281292
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.015337615,0.100013815,0.8374054,0.047243178
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.047023144,0.053284205,0.7355657,0.1641269
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.11967303,0.1536632,0.473316,0.2533478
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.21336582,0.18829468,0.45169547,0.14664404
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.062319838,0.5217976,0.24647972,0.16940288
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.0018664077,0.9668231,0.002114917,0.029195528
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.033017002,0.02571367,0.85151976,0.08974952
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.13598889,0.056688603,0.6094599,0.19786265
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.8997095,0.083686024,0.0077840127,0.008820442
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.9458751,0.004963497,0.0020690935,0.04709235
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.27847788,0.09040854,0.3155568,0.3155568
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.097281575,0.23336636,0.23336636,0.43598574
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.05124559,0.024206704,0.8016159,0.122931786
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.031164251,0.1396685,0.62595075,0.20321645
