0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_13000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_13000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_13000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_13000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_13000_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.09421856,0.2902136,0.5421904,0.07337749
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.10890718,0.17955758,0.15845901,0.55307627
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.11228196,0.73217034,0.06810246,0.08744528
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.32545507,0.25346467,0.2236818,0.19739848
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.8063263,0.09630195,0.09630195,0.001069818
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.12278975,0.05118638,0.6235778,0.20244606
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.079176456,0.11520107,0.054417133,0.7512053
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.13390747,0.17194058,0.6800382,0.014113743
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.21213955,0.39632884,0.34975895,0.04177275
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.49171755,0.15963732,0.26319745,0.0854477
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,False,0.15125309,0.2493742,0.46589231,0.13348038
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.02134659,0.01294736,0.90768003,0.05802604
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.5271313,0.36229172,0.08083821,0.029738713
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,False,0.2615622,0.48866248,0.23082781,0.0189475
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,True,0.04192481,0.65581435,0.24126062,0.06100024
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.16942652,0.460549,0.27933708,0.090687476
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.78314906,0.023649054,0.1542112,0.038990695
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.16744927,0.3128364,0.27607715,0.24363723
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.36464268,0.19517916,0.32179603,0.11838214
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.61174244,0.17526715,0.19860369,0.014386804
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.020856502,0.06424255,0.22422852,0.69067246
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,True,0.1914786,0.10249111,0.66832596,0.03770437
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.6555481,0.12908508,0.14627255,0.069094256
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.3910154,0.44307852,0.14384653,0.02205958
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.18154834,0.633666,0.16021585,0.024569895
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.06718903,0.81852996,0.08627242,0.028008554
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.15585482,0.48006666,0.25696117,0.107117355
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.7095547,0.23035868,0.045360312,0.014726337
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.100376695,0.6545383,0.21249746,0.03258754
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.30156052,0.34171283,0.34171283,0.015013814
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.268231,0.23671305,0.44223818,0.05281782
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.67663646,0.150978,0.091572784,0.0808127
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.0727735,0.7823888,0.10588481,0.038952842
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.07950437,0.45751604,0.31444588,0.14853372
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.12182315,0.33114967,0.06520723,0.4818199
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.1674051,0.27600434,0.45505422,0.101536326
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.110956326,0.26617038,0.5634827,0.059390638
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.14321074,0.641826,0.16227902,0.052684285
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.017343316,0.08807663,0.44729003,0.44729003
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.34993201,0.2122445,0.16529618,0.27252734
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,True,0.095000826,0.22789513,0.6194832,0.057620913
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.17288586,0.6034309,0.104860574,0.1188226
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.035401504,0.33588013,0.48870268,0.14001566
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.17125136,0.46550944,0.28234574,0.08089341
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.09364255,0.41967678,0.28843936,0.19824126
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.11538358,0.35540646,0.3136451,0.21556492
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.111127704,0.20761387,0.4980398,0.18321861
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.0924363,0.6027604,0.15240169,0.15240169
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.57489973,0.2715634,0.12827748,0.025259333
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.043816797,0.15293565,0.77667135,0.026576232
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.119833246,0.17435634,0.6895927,0.016217668
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.8882309,0.06434324,0.04422241,0.003203461
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.23705068,0.2091965,0.3908305,0.16292238
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.014362367,0.6920176,0.25457907,0.03904096
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.104993574,0.77580345,0.09265651,0.026546534
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.3031867,0.56642735,0.09843031,0.031955644
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.5966751,0.19371204,0.19371204,0.015900852
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.05161594,0.2970292,0.5549236,0.09643126
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.10841025,0.08442999,0.37838894,0.42877084
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.08932099,0.4536094,0.2142699,0.24279962
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,True,0.29520482,0.22990575,0.3790505,0.09583897
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.29632398,0.48855564,0.17972958,0.035390854
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.50570387,0.4462821,0.047037788,0.0009762381
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.08551938,0.096906155,0.43430325,0.38327128
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.21654265,0.45842078,0.24537498,0.079661585
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.65554804,0.14627254,0.069094256,0.12908506
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.39267126,0.23816717,0.26987875,0.09928284
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.5364816,0.1356438,0.17417008,0.15370457
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.35823798,0.24621314,0.24621314,0.1493358
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.33490178,0.29554978,0.26082176,0.10872669
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.19980873,0.19980873,0.5431364,0.057246156
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.42434603,0.20044687,0.29164848,0.083558686
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,True,0.00492455,0.06798132,0.828182,0.09891223
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.12906581,0.14625071,0.5784328,0.14625071
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.68454134,0.15274182,0.11895545,0.04376126
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.14753729,0.2146655,0.054275937,0.5835213
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.048783105,0.17026979,0.31810585,0.46284124
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,True,0.57055426,0.3053957,0.07721612,0.046833944
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.14201483,0.3860363,0.26531863,0.20663035
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.3745737,0.15614554,0.3745737,0.094707064
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.15401681,0.15401681,0.6902554,0.0017109722
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.32731417,0.32731417,0.22495952,0.120412156
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.10461464,0.6020157,0.2214692,0.071900524
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.19203778,0.52201277,0.1164768,0.16947274
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.08635798,0.63810396,0.23474534,0.04079262
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.2808501,0.24784935,0.40863448,0.06266613
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.23696765,0.3447859,0.20912322,0.20912322
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,True,0.06215202,0.315634,0.40528208,0.21693188
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.18057,0.20461263,0.5561948,0.058622498
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.13927194,0.6241735,0.2296206,0.0069339415
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.111476816,0.30302542,0.566126,0.019371765
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.054691363,0.58798754,0.27774563,0.07957546
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.043829452,0.3669795,0.41584226,0.17334884
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.6962817,0.044511795,0.08315899,0.17604758
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,True,0.084784366,0.23046781,0.62647647,0.05827139
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.34445453,0.34445453,0.12671775,0.18437323
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.20818275,0.3432353,0.38893658,0.05964536
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.49909595,0.16203272,0.302717,0.03615439
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.49670485,0.30126673,0.16125645,0.040772017
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,False,0.09754487,0.26515445,0.49537373,0.14192696
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.43693092,0.3855902,0.11047344,0.06700553
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.11458508,0.581911,0.18891884,0.11458508
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.21185488,0.57588124,0.16499275,0.04727121
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,True,0.32404864,0.6054025,0.05631121,0.014237703
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.05896985,0.29947364,0.43573156,0.20582502
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.02186613,0.14258508,0.82052046,0.015028357
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.096906155,0.43430325,0.38327128,0.08551938
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.1364755,0.22501007,0.61164075,0.02687362
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.018816298,0.016605325,0.90662,0.05795828
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.33136356,0.2924273,0.2924273,0.08378183
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.10255534,0.45962113,0.3579533,0.07987018
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.5837308,0.1014372,0.16724168,0.14759026
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.2830518,0.19453846,0.46667352,0.055736206
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.17412733,0.60776407,0.1973121,0.020796543
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.37228382,0.4780219,0.13695557,0.012738852
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.029845707,0.07159613,0.87221944,0.026338745
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.21175157,0.23994596,0.44827807,0.10002436
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.34985164,0.39643383,0.1652582,0.08845635
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.35438797,0.18969022,0.35438797,0.10153385
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.04825591,0.04825591,0.75484943,0.14863867
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.035553157,0.8091861,0.0966435,0.058617245
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.09068746,0.46054894,0.27933705,0.16942649
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.28168935,0.31919584,0.28168935,0.11742559
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.050608177,0.6986243,0.20015922,0.050608177
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.05055309,0.22656325,0.6158627,0.10702089
Sound travels in,solids,liquids,gases,All of these,D,False,0.05116414,0.25983292,0.6233068,0.06569605
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,True,0.039678875,0.33222714,0.4265881,0.20150594
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.79078144,0.10702063,0.09444538,0.007752548
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.0017201265,0.050269466,0.8910476,0.056962766
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.62937623,0.2972963,0.06633577,0.0069917385
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.9717154,0.022852557,0.0039711786,0.001460915
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.003364443,0.052628744,0.64114934,0.3028575
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.55895,0.2640293,0.16014186,0.016878828
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,True,0.06443306,0.056861978,0.7849554,0.09374955
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.21710695,0.5208125,0.19159622,0.07048431
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.12182316,0.48181996,0.3311497,0.06520724
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.984831,0.0058560194,0.008520458,0.000792526
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.038879592,0.17424622,0.36887926,0.41799498
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.074039996,0.17761272,0.5470857,0.2012616
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.4586923,0.13141756,0.40479454,0.0050956113
