0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_combine_6k_52000_correct,llama2_7B_alpacacode_alpaca_combine_6k_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_combine_6k_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_combine_6k_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_combine_6k_52000_choiceD_probs
Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,True,0.00037996165,0.9995598,1.4732711e-05,4.5379948e-05
"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,True,0.07153325,0.023223447,0.033789914,0.8714534
Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,True,0.96303725,0.015566047,0.010698377,0.010698377
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,False,0.34985164,0.39643383,0.08845635,0.1652582
Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,True,0.035301752,0.9104442,0.00892568,0.045328345
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,False,0.30689576,0.112900645,0.18614168,0.39406195
What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,False,0.48691642,0.021393616,0.0047735604,0.48691642
Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,False,0.28669626,0.25300857,0.13542572,0.32486942
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,False,0.22700894,0.37427446,0.29148525,0.10723143
Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,True,0.0071243737,0.013310082,0.9331088,0.04645675
Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,False,0.19084433,0.5878419,0.090148486,0.13116527
