0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptllama2chat_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.55874676,0.07561815,0.20555145,0.16008364
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.07457101,0.2602784,0.48626405,0.17888655
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.18905625,0.24275303,0.45352235,0.11466841
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.17517631,0.09376512,0.47617856,0.25488
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.20866026,0.18414204,0.30359888,0.30359888
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.15022087,0.19288741,0.52432233,0.13256945
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.6965837,0.15542884,0.08319506,0.06479238
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.268384,0.04115802,0.6438198,0.046638153
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.7111525,0.20374861,0.07495492,0.010144046
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.19028966,0.5172609,0.24433675,0.04811276
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.27187794,0.39558005,0.27187794,0.06066417
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.04578783,0.14103644,0.63208145,0.18109438
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.04921315,0.24992497,0.5290912,0.17177075
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.23395765,0.30040756,0.34040636,0.12522851
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.2900896,0.15527378,0.3287146,0.22592203
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.11466839,0.242753,0.4535223,0.18905622
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.2737255,0.11410577,0.5794769,0.032691848
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.2963905,0.48866534,0.14000496,0.07493926
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.11453861,0.58167505,0.24247824,0.061308097
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.25180578,0.25180578,0.32332504,0.17306343
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.09576103,0.48631462,0.29496473,0.12295959
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.13773176,0.13773176,0.6172709,0.1072656
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.49309197,0.16008352,0.20555131,0.14127322
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.25488,0.09376512,0.47617856,0.17517631
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.36464268,0.19517916,0.32179603,0.11838214
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.24671501,0.59183854,0.090761386,0.07068504
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.25983292,0.05116414,0.6233068,0.06569605
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.59983194,0.049237203,0.32106692,0.029863873
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.9156867,0.058537893,0.021534888,0.004240471
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.9557886,0.025470903,0.009370222,0.009370222
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.6035369,0.118843466,0.19593975,0.081679836
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.6260015,0.09600044,0.20323291,0.07476521
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.22709191,0.25732887,0.4807536,0.034825675
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.16198862,0.23569204,0.44033068,0.16198862
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.3858721,0.34053093,0.20654246,0.06705452
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.17946905,0.26112592,0.37993598,0.17946905
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.09548468,0.09548468,0.5494764,0.25955427
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.33546147,0.55308247,0.06605628,0.045399774
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,True,0.32160798,0.118312955,0.4679368,0.092142224
