0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp10k_correct,llama_7B_sharegpt_xc_20000/ckp10k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.20483434,0.18076567,0.18076567,0.4336343
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3009085,0.20681119,0.1513063,0.340974
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.28860566,0.18633783,0.15447947,0.370577
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.24683751,0.15937027,0.10289718,0.490895
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.2887417,0.1984491,0.16452007,0.348289
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.3044024,0.20921253,0.11920569,0.3671794
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.21666408,0.20353706,0.14891091,0.43088797
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.30707735,0.18625183,0.13626476,0.370406
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.23025964,0.19089194,0.1486668,0.43018162
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.21378279,0.17723216,0.15640685,0.4525782
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,True,0.25447437,0.21096666,0.164301,0.370258
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.22659743,0.18785585,0.18785585,0.39769086
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.16022943,0.13283485,0.18156372,0.525372
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.27580383,0.13868287,0.10146256,0.48405078
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.20482312,0.16980433,0.21803309,0.40733942
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.2048233,0.14077286,0.24706407,0.40733978
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.26010033,0.21563075,0.19029348,0.33397543
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.23086813,0.16890672,0.16890672,0.43131843
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.3777881,0.17845446,0.13056009,0.3131973
