0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_combine_52k_52000_correct,llama2_7B_alpacacode_alpaca_combine_52k_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_combine_52k_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_combine_52k_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_combine_52k_52000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.0076891384,0.8887436,0.08266603,0.020901246
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.08924751,0.21409366,0.6594549,0.037203897
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.044555917,0.78977257,0.12111555,0.044555917
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.58450395,0.4017233,0.0121309925,0.0016417513
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.8349843,0.11300284,0.032375854,0.01963695
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.99276406,0.005903191,0.00090528367,0.00042762572
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.020508187,0.118016474,0.76956403,0.091911316
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.06360178,0.2850434,0.53253114,0.11882376
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.014313111,0.53709555,0.41829044,0.030300857
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.007594578,0.8778139,0.10483992,0.009751631
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.03624029,0.50028175,0.4414971,0.021980846
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.55307627,0.15845901,0.17955758,0.10890718
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.046791133,0.07714554,0.7319365,0.14412685
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.08019714,0.08019714,0.24702457,0.59258115
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.04003267,0.3798194,0.55263394,0.027514024
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.05019071,0.7851148,0.12040126,0.044293147
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.01371915,0.8487738,0.13016368,0.007343332
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.022194436,0.94373137,0.022194436,0.011879825
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,True,0.086498134,0.38765773,0.49776238,0.028081832
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.47848102,0.2902134,0.1370871,0.0942185
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.29535732,0.3346837,0.3346837,0.0352754
