0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_gpt4op_promptvic_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_gpt4op_promptvic_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_gpt4op_promptvic_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_gpt4op_promptvic_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_gpt4op_promptvic_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.042635992,0.07029487,0.1313281,0.75574106
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.05523347,0.2184526,0.1324982,0.59381574
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.06729719,0.08117591,0.1718494,0.67967755
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.022748332,0.122976325,0.22975002,0.6245253
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.028907651,0.14680517,0.16635203,0.6579351
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.034839034,0.107311785,0.20048481,0.65736437
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.08314011,0.18735914,0.18735914,0.5421416
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.064446695,0.10625463,0.2548916,0.5744071
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.19256854,0.18090141,0.10307451,0.52345556
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.12265983,0.20223187,0.18997927,0.48512906
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.06920384,0.33015308,0.17671819,0.42392492
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.016473869,0.13793401,0.22741474,0.61817735
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.08868679,0.27317455,0.18774992,0.45038867
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.053207416,0.14463276,0.15396076,0.648199
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.08701141,0.14345758,0.23652154,0.5330095
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.04129077,0.20969182,0.30509982,0.4439176
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.017998166,0.14156654,0.2059781,0.63445723
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.12019861,0.18616724,0.12019861,0.5734355
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.06375537,0.19638038,0.13497013,0.60489416
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.014303138,0.15377322,0.22373872,0.6081849
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.019690445,0.07315888,0.1206186,0.78653204
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.07640292,0.22107916,0.17217661,0.5303413
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.06896234,0.088549405,0.14599328,0.696495
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.062429246,0.14975998,0.116633184,0.6711776
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.05430844,0.20178033,0.22864708,0.51526415
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.08202489,0.12704264,0.18484594,0.6060865
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.047554187,0.107165016,0.14647721,0.69880366
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,True,0.04612162,0.071434565,0.16098028,0.72146356
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.08040194,0.26362783,0.24765542,0.40831476
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.041889124,0.078259185,0.13734916,0.7425025
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.062964804,0.23394263,0.14189337,0.5611992
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.043862257,0.12691966,0.184667,0.64455116
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.061759185,0.122822806,0.2294632,0.58595484
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.048927557,0.15070748,0.12494089,0.67542404
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,True,0.08652382,0.20755985,0.26651213,0.43940422
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.11735511,0.2644638,0.2333885,0.38479257
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.018696517,0.07871528,0.20100652,0.70158166
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.050916877,0.10779102,0.13840641,0.70288575
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.08214747,0.18512219,0.19706154,0.5356688
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.0463643,0.11839539,0.195201,0.6400394
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.038591307,0.18410884,0.1346969,0.642603
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,True,0.15700635,0.14749381,0.14749381,0.548006
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.04859741,0.09664749,0.14062127,0.71413374
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.033478454,0.09100387,0.15971677,0.7158009
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,True,0.064062975,0.28711033,0.112434015,0.5363927
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,False,0.019911535,0.12197295,0.37570313,0.48241237
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,True,0.10766042,0.15664499,0.18894993,0.5467447
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.023500495,0.1736465,0.19676724,0.6060858
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,True,0.025009148,0.15319961,0.13519818,0.686593
Find the product of 5 • (−9).,14,−4,45,−45,D,True,0.054187723,0.1383732,0.1472975,0.6601416
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,False,0.04114533,0.2520457,0.1732283,0.5335807
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.03060014,0.073405914,0.19953798,0.69645596
Which situation can be represented by the fraction 20/8?,Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,False,0.18815865,0.1376598,0.094612114,0.57956946
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",120 miles,80 miles,26 miles,12 miles,A,False,0.045012623,0.22859296,0.17802837,0.548366
Which step explains how to find the value of a in 6a = 72?,add 6 to both sides,divide both sides by 6,multiply both sides by 6,subtract 6 from both sides,B,False,0.025780123,0.1579224,0.108538374,0.7077591
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,False,0.0407926,0.16133785,0.23474517,0.5631244
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F at 10 P.M. Write and solve an equation to find t the temperature at 6 P.M.,84 − 11 = t; 73°F,t − 84 = 11; 95°F,84 − t = 11; 73°F,t − 11 = 84; 95°F,D,True,0.08413947,0.29367557,0.16733131,0.45485362
Theresa had a bag of 72 marbles. She put the marbles into 9 equal groups. Which number sentence shows how to find the number of marbles Theresa put into each group?,72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,9 ÷ 72 = 0.125,A,False,0.088040166,0.13635927,0.16448069,0.61111987
Rob uses 1 box of cat food every 5 days to feed his cats. Approximately how many boxes of cat food does he use per month?,2 boxes,4 boxes,5 boxes,6 boxes,D,True,0.024414659,0.19203617,0.19203617,0.59151304
What is the least common multiple of 4 and 10?,14,20,40,60,B,False,0.0064493497,0.08363643,0.29191983,0.6179943
Find 4 over 7 + 2 over 7.,6 over 14,8 over 49,14 over 28,6 over 7,D,True,0.065588154,0.14780518,0.20202574,0.58458084
How many years are there in a decade?,5,10,15,20,B,False,0.15114018,0.13338076,0.1177081,0.59777105
There are 31 days in the month of January. Michelle did 45 push-ups each day of the month. She used the expression below to find the number of push-ups she did in January. 31 × 45 How many push-ups did Michelle do in the month of January?,125 push-ups,279 push-ups,"1,395 push-ups","1,406 push-ups",C,False,0.060496297,0.17505184,0.28861168,0.4758402
Two whole numbers have a least common multiple of 60. Each number is less than or equal to 12. The greatest common factor of the two numbersis 2. What are the two numbers?,6 and 10,5 and 12,10 and 12,12 and 15,C,False,0.10257063,0.38109612,0.18001705,0.33631614
Evaluate −2(x − 3) for x = 2.,−4,−2,10,2,D,True,0.051027834,0.114993006,0.084130675,0.74984854
