0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.020045677,0.005743183,0.0083562825,0.9658549
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.6294575,0.29733464,0.051669016,0.02153885
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.48534,0.15756683,0.17854661,0.17854661
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.315634,0.2169319,0.4052821,0.062152028
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.2985671,0.23252428,0.085540906,0.38336772
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.18954185,0.14761534,0.58383,0.0790128
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.3218423,0.60128057,0.03843858,0.03843858
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.06614748,0.018951569,0.7111524,0.20374857
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.6410221,0.23581885,0.024855124,0.09830392
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.08617591,0.38621363,0.4959081,0.031702343
