0,1,2,3,4,5,llama_7B_ga_alpacafirstturn_20000/ckp7500_correct,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceA_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceB_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceC_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.15041512,0.19313684,0.19313684,0.4633112
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3103132,0.21327494,0.16609868,0.3103132
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.2181934,0.16992919,0.14996198,0.46191543
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.034342445,0.119866915,0.06416014,0.78163046
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.13116527,0.19084433,0.090148486,0.5878419
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.21507852,0.13045172,0.06982577,0.584644
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.16688456,0.18910499,0.12996984,0.51404065
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.07934983,0.08991514,0.24441467,0.58632034
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.13471481,0.22210716,0.17297724,0.47020087
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.1267777,0.16278577,0.20902108,0.5014155
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,True,0.12996984,0.16688456,0.18910499,0.51404065
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.18237275,0.16094339,0.16094339,0.49574053
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.090597875,0.14937064,0.16925912,0.59077233
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.04373462,0.0636335,0.014198553,0.87843335
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.18394874,0.23619486,0.23619486,0.3436615
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.12840621,0.21170604,0.21170604,0.44818172
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.24293727,0.21439138,0.18919975,0.35347164
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.21951316,0.21951316,0.15086904,0.41010457
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.33065623,0.20055315,0.17698753,0.2918031
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.28748983,0.17437139,0.119843595,0.41829523
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.13471481,0.22210716,0.17297724,0.47020087
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.21439138,0.24293727,0.18919975,0.35347164
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,True,0.2739235,0.21333183,0.1141883,0.39855632
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,False,0.1575668,0.1785466,0.1785466,0.48533994
