0,1,2,3,4,5,llama2_7B_alpacacode_sharegpt_xc_52000_correct,llama2_7B_alpacacode_sharegpt_xc_52000_choiceA_probs,llama2_7B_alpacacode_sharegpt_xc_52000_choiceB_probs,llama2_7B_alpacacode_sharegpt_xc_52000_choiceC_probs,llama2_7B_alpacacode_sharegpt_xc_52000_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.0932038,0.10561374,0.020796578,0.78038585
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.13821225,0.22787347,0.37569985,0.25821447
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.14969505,0.35909978,0.13210543,0.35909978
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.021850372,0.56352854,0.20731057,0.20731057
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.05035086,0.47771567,0.05035086,0.4215826
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.11260546,0.50466263,0.27012646,0.11260546
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.36149,0.40962183,0.009633383,0.21925478
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.009092937,0.05232624,0.3011167,0.6374641
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.6195196,0.25825417,0.027219791,0.09500641
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.012159256,0.115363814,0.020047225,0.8524297
