0,1,2,3,4,5,llama_7B_followturn_20000/ckp25k_correct,llama_7B_followturn_20000/ckp25k_choiceA_probs,llama_7B_followturn_20000/ckp25k_choiceB_probs,llama_7B_followturn_20000/ckp25k_choiceC_probs,llama_7B_followturn_20000/ckp25k_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,False,0.7197643,0.23367324,0.031624235,0.014938231
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,True,0.09273652,0.4709549,0.41561624,0.020692315
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.032509264,0.3495075,0.5762405,0.041742723
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.3449283,0.64441085,0.010415931,0.00024495923
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,False,0.6445487,0.34500208,0.01041816,3.114973e-05
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.15366013,0.7803505,0.06405507,0.0019342956
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.013041717,0.18003535,0.8068625,6.039513e-05
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.039098624,0.53973985,0.32736877,0.09379272
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,False,0.26194,0.6283614,0.10919284,0.00050566316
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.5624215,0.38654628,0.046166368,0.004865899
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.53356725,0.28559798,0.17322393,0.007610928
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.22711983,0.54483217,0.22711983,0.00092818687
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.1266255,0.8257019,0.019418648,0.028253965
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.03047626,0.89064693,0.044342697,0.03453413
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.13999255,0.80560154,0.05150038,0.0029054529
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.17436741,0.7814605,0.038906626,0.0052654394
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.11717495,0.6742953,0.17048855,0.038041137
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.33330065,0.6226876,0.03512963,0.008882161
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.09468764,0.89837134,0.0047142203,0.00222684
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.48923156,0.48923156,0.0047962572,0.016740583
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.054250285,0.45423207,0.45423207,0.037285637
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.3827715,0.1595629,0.29810274,0.1595629
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.31933337,0.5264917,0.1508424,0.0033325425
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.06443916,0.8895552,0.044288345,0.0017172456
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.3314209,0.5464207,0.09495368,0.027204683
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.17490445,0.78386736,0.039026458,0.002201722
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.3598117,0.3598117,0.28022164,0.0001549862
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,False,0.18614016,0.73619866,0.077594765,6.64703e-05
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.03900935,0.88784873,0.07287906,0.00026284292
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.060737543,0.24022163,0.34952042,0.34952042
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.28832555,0.6103852,0.0936056,0.0076836157
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.13758975,0.6987384,0.15590961,0.007762282
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.28879872,0.42019966,0.15458283,0.13641885
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.021415884,0.91062653,0.06596557,0.0019919875
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.0073047606,0.74510586,0.24190046,0.0056889537
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,False,0.14631794,0.5786987,0.2733579,0.0016254456
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.039541036,0.70088166,0.25783995,0.0017373121
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.2932492,0.70346826,0.0017437235,0.0015388306
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.2899594,0.6955765,0.011242947,0.0032211582
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.20779695,0.64005965,0.11122569,0.040917642
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.48591483,0.37843084,0.08443934,0.051215045
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.62327236,0.25981858,0.09558192,0.021327207
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.03097211,0.9051378,0.03976898,0.024121104
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.17706592,0.70030934,0.12169552,0.0009291567
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.047271248,0.6525594,0.21185501,0.08831431
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.34028423,0.4369336,0.04064116,0.18214102
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.04596434,0.9232185,0.027878784,0.0029384021
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.5431673,0.4230191,0.023865106,0.009948457
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.12548666,0.63727385,0.16112806,0.07611151
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.04578653,0.71622187,0.23252319,0.0054684216
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.76595324,0.13310272,0.071244754,0.02969923
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.40760553,0.52337587,0.02605735,0.042961307
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.49836493,0.11120025,0.388127,0.0023078874
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.80389774,0.016684365,0.17937383,4.4023665e-05
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.40518302,0.27847794,0.31555685,0.0007821873
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.42123052,0.4773167,0.082945205,0.018507577
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.5046278,0.39300454,0.09936711,0.0030006268
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.7361373,0.18612465,0.060425825,0.01731229
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.39399377,0.505898,0.09961722,0.0004910718
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.5223429,0.40680107,0.07069143,0.00016461009
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.40591168,0.4599582,0.11629564,0.017834514
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.15464355,0.6116271,0.22500505,0.008724391
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.033397216,0.8613256,0.042882875,0.06239422
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.026869101,0.7852303,0.17520857,0.012692065
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.2565876,0.54319596,0.15562825,0.044588238
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.7132129,0.26237637,0.024404803,5.9896634e-06
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.17603602,0.78893864,0.034663547,0.00036174656
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,True,0.16787356,0.75235707,0.07929785,0.00047152227
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.27914032,0.66962284,0.042807553,0.0084293075
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.2623464,0.71313137,0.024402013,0.00012029186
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.3388645,0.5586931,0.035716053,0.06672638
