0,1,2,3,4,5,llama_7B_firstturn_20000_2/ckp10k_correct,llama_7B_firstturn_20000_2/ckp10k_choiceA_probs,llama_7B_firstturn_20000_2/ckp10k_choiceB_probs,llama_7B_firstturn_20000_2/ckp10k_choiceC_probs,llama_7B_firstturn_20000_2/ckp10k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.5321093,0.13453831,0.22181617,0.111536175
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.5664883,0.16230163,0.17276919,0.09844091
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.61375123,0.09412181,0.13694641,0.15518062
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.5165226,0.13902017,0.2292055,0.11525177
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.52025944,0.10244516,0.24575315,0.13154219
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.54517084,0.15619406,0.17699106,0.121644065
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.60754883,0.11963346,0.18529193,0.08752571
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.5358341,0.09911934,0.23777492,0.12727174
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.57085353,0.09318928,0.22354946,0.11240773
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.54814124,0.11489665,0.21465519,0.122306846
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.48902234,0.14010724,0.2617548,0.10911564
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.45400506,0.20146352,0.2144568,0.13007464
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.5152282,0.14761536,0.21477906,0.122377425
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.46105155,0.18055038,0.21778533,0.14061278
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.50346106,0.11958248,0.22340949,0.15354696
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.4696908,0.12641557,0.25140738,0.15248628
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.38079965,0.19147809,0.278599,0.14912328
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.50929916,0.120969154,0.2560917,0.11364
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.57970184,0.11415006,0.17679907,0.12934896
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.5690243,0.12696649,0.18473515,0.119273975
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.5859787,0.11538605,0.1678857,0.13074952
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.5014159,0.13495426,0.2368521,0.1267778
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.59425235,0.07555071,0.17025615,0.15994085
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.5288544,0.11085391,0.23467773,0.12561393
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.5492186,0.11512247,0.17830516,0.15735377
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.6111629,0.1281067,0.15452617,0.10620419
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.63692,0.080975294,0.17142469,0.110680096
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.50346106,0.15354696,0.22340949,0.11958248
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.5132584,0.11452343,0.2424461,0.12977205
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.57365763,0.14504336,0.14504336,0.13625562
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.53147155,0.098312356,0.23583907,0.13437705
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.5376974,0.14471929,0.2241456,0.09343779
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,True,0.61270314,0.093961075,0.18686391,0.106471844
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.55455804,0.123738624,0.23117419,0.090529114
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.501024,0.11179357,0.26817885,0.11900363
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.5355739,0.17387539,0.16334082,0.12720995
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,True,0.582656,0.13839294,0.15681975,0.12213134
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.5125246,0.16639237,0.21365204,0.107430995
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.5314711,0.16208953,0.20812705,0.098312266
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.4135298,0.20793585,0.2356222,0.14291209
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.49708933,0.12568386,0.23480837,0.14241847
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.5284271,0.11790803,0.24961129,0.104053475
Which number has an absolute value greater than 5?,-6,-5,0,5,A,True,0.51624143,0.15744475,0.17840828,0.14790565
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.49337468,0.117186755,0.24808437,0.14135422
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,False,0.56306595,0.125637,0.20714039,0.10415673
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,False,0.501024,0.11179357,0.26817885,0.11900363
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,False,0.46851102,0.11128112,0.32200262,0.098205246
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.50871605,0.13691907,0.22574137,0.12862356
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,False,0.5860851,0.13920741,0.19027397,0.08443356
Find the product of 5 • (−9).,14,−4,45,−45,D,False,0.6169389,0.12931742,0.14653583,0.1072079
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,True,0.44455063,0.10559003,0.3055349,0.14432445
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.5492186,0.15735377,0.17830516,0.11512247
Which situation can be represented by the fraction 20/8?,Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,False,0.5775018,0.10035476,0.1761281,0.14601532
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",120 miles,80 miles,26 miles,12 miles,A,True,0.48864016,0.13151571,0.23081726,0.14902684
Which step explains how to find the value of a in 6a = 72?,add 6 to both sides,divide both sides by 6,multiply both sides by 6,subtract 6 from both sides,B,False,0.5095981,0.24071708,0.15541863,0.09426617
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,True,0.4074787,0.15957095,0.26308802,0.16986239
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F at 10 P.M. Write and solve an equation to find t the temperature at 6 P.M.,84 − 11 = t; 73°F,t − 84 = 11; 95°F,84 − t = 11; 73°F,t − 11 = 84; 95°F,D,False,0.5967768,0.117512316,0.18200664,0.10370426
Theresa had a bag of 72 marbles. She put the marbles into 9 equal groups. Which number sentence shows how to find the number of marbles Theresa put into each group?,72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,9 ÷ 72 = 0.125,A,True,0.49367556,0.11725822,0.2642455,0.12482073
Rob uses 1 box of cat food every 5 days to feed his cats. Approximately how many boxes of cat food does he use per month?,2 boxes,4 boxes,5 boxes,6 boxes,D,False,0.52096933,0.12374106,0.24608847,0.1092011
