0,1,2,3,4,5,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.016730404,0.04547795,0.024342593,0.91344905
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.077489756,0.16404583,0.18588826,0.57257617
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.0625586,0.13243654,0.13243654,0.67256826
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.049995523,0.10584053,0.15399705,0.6901669
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.08064721,0.09138526,0.06280811,0.7651594
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.17575939,0.22567952,0.120797545,0.47776356
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.10890725,0.17955771,0.08481705,0.626718
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.028939512,0.07866575,0.3111291,0.5812656
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.19295396,0.3181273,0.08043518,0.40848354
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.05062513,0.15593638,0.09458019,0.6988583
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.1404179,0.18030016,0.12391837,0.5553636
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.029975213,0.10462377,0.09233016,0.77307093
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.067926764,0.14380097,0.14380097,0.6444712
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.1014372,0.14759026,0.16724168,0.5837308
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.059897706,0.036329795,0.076910175,0.8268623
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.030835958,0.22784865,0.12195859,0.6193568
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.036743164,0.060579237,0.16467144,0.7380062
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.17778477,0.074111715,0.04495103,0.7031524
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.05384944,0.11399926,0.08878271,0.74336857
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.07056845,0.16928492,0.09061169,0.66953486
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.08933888,0.101234205,0.06140165,0.74802524
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.07706782,0.20949207,0.14398165,0.5694585
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.05698169,0.1548923,0.09394693,0.6941791
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.0970779,0.11000368,0.07560434,0.71731406
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.079661585,0.21654265,0.24537498,0.45842078
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.085399434,0.3377613,0.085399434,0.4914398
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.05584007,0.092064716,0.08124682,0.7708484
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,True,0.14562356,0.11341174,0.08832515,0.6526395
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.22532511,0.1988487,0.15486352,0.4209627
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.04845578,0.05490759,0.0377374,0.85889924
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.10068176,0.24152297,0.1464911,0.51130414
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.081614465,0.07202452,0.07202452,0.7743365
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.09683735,0.14089751,0.20500466,0.55726045
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.08481705,0.17955771,0.10890725,0.626718
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,True,0.049069826,0.09167451,0.09167451,0.7675812
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.078628495,0.2421928,0.16645652,0.5127222
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.05982823,0.14352046,0.06779427,0.72885704
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.043309417,0.13340239,0.055610396,0.7676778
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.078764126,0.14715075,0.11460112,0.6594839
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.05989329,0.20904814,0.16280685,0.5682517
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.075537376,0.1411224,0.06666151,0.7166787
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,True,0.14109938,0.15988652,0.06665062,0.6323635
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.10304178,0.16988717,0.055154286,0.6719168
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.16002825,0.1099857,0.097062044,0.632924
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,True,0.06525154,0.25807485,0.057584282,0.61908937
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,False,0.08860111,0.18756855,0.14607854,0.5777518
