0,1,2,3,4,5,llama2_7B_ds2_alpaca_52000/epoch1_correct,llama2_7B_ds2_alpaca_52000/epoch1_choiceA_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceB_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceC_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.029058624,0.7494318,0.16722085,0.05428866
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.11789778,0.5987343,0.24958959,0.03377828
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.30190217,0.5640275,0.09801328,0.03605707
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.21263517,0.7421697,0.03695045,0.00824476
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.27109075,0.6503129,0.053380933,0.025215367
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.67730385,0.1940508,0.11769776,0.010947597
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.111373805,0.49914274,0.30274537,0.086738005
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.12737429,0.5037751,0.2696514,0.099199206
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.052952666,0.730989,0.1631057,0.052952666
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.046691872,0.7303838,0.16297066,0.059953555
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.09770693,0.721962,0.16109149,0.019239634
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,True,0.3121419,0.3537031,0.16707751,0.16707751
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.12745449,0.39258745,0.26982117,0.21013694
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.74634534,0.14696412,0.08913824,0.01755236
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.08481791,0.5530822,0.2960436,0.06605625
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.030023884,0.4696526,0.3657658,0.13455772
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.07367089,0.79203665,0.107190505,0.027102003
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.23046939,0.70989573,0.035343625,0.024291296
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.093813896,0.78549415,0.093813896,0.026878132
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.13168195,0.45961514,0.21710682,0.19159609
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.14489935,0.6493938,0.16419247,0.041514356
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.06968655,0.5149178,0.35389748,0.06149816
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.14251919,0.56367433,0.2073642,0.08644226
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.18483344,0.56932706,0.20944372,0.03639586
