0,1,2,3,4,5,llama_7B_ga_alpacafollowturn_20000/ckp5000_correct,llama_7B_ga_alpacafollowturn_20000/ckp5000_choiceA_probs,llama_7B_ga_alpacafollowturn_20000/ckp5000_choiceB_probs,llama_7B_ga_alpacafollowturn_20000/ckp5000_choiceC_probs,llama_7B_ga_alpacafollowturn_20000/ckp5000_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,False,0.37427446,0.10723143,0.29148525,0.22700894
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.40252653,0.19014007,0.13068123,0.2766522
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.52572244,0.17067708,0.13292345,0.17067708
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.23046781,0.084784366,0.05827139,0.62647647
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,False,0.59980243,0.19472733,0.071636185,0.13383402
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.2772748,0.16817567,0.2772748,0.2772748
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,False,0.38989532,0.14343448,0.38989532,0.07677494
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.37385947,0.13753521,0.064967036,0.42363828
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.6805037,0.15184091,0.06329671,0.10435863
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.5553636,0.12391837,0.1404179,0.18030016
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.51741874,0.19034772,0.101885796,0.19034772
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.41967678,0.19824126,0.09364255,0.28843936
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.50462914,0.21036072,0.09936737,0.18564269
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.26887184,0.14391673,0.14391673,0.44329473
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.38253227,0.23201755,0.18069544,0.20475478
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.60489416,0.19638038,0.06375537,0.13497013
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.6524355,0.11337629,0.04726227,0.1869259
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.528309,0.22023195,0.11788167,0.13357744
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.5980144,0.10391933,0.10391933,0.19414686
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,False,0.3419952,0.14256482,0.07630945,0.43913054
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.21052976,0.16396074,0.05323026,0.5722792
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.59421545,0.1502412,0.06262985,0.19291352
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.41181126,0.2204267,0.117985904,0.24977615
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.36617643,0.19600013,0.15264504,0.28517848
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.4814834,0.17712785,0.08366927,0.25771952
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.54517084,0.15619406,0.121644065,0.17699106
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.56738406,0.1266005,0.16255826,0.14345716
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,False,0.46488422,0.11754114,0.3620522,0.055522505
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.46589234,0.1512531,0.1334804,0.24937421
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.41245788,0.17193802,0.1948313,0.2207728
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.48398802,0.20175622,0.1571279,0.1571279
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.47203052,0.22297142,0.08202661,0.22297142
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.5633483,0.14243676,0.05937647,0.2348385
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.37993598,0.17946905,0.17946905,0.26112592
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.21891177,0.21891177,0.28108826,0.28108826
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,False,0.4944954,0.14167531,0.18191469,0.18191469
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.60728884,0.119582266,0.119582266,0.15354666
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.55307627,0.17955758,0.10890718,0.15845901
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.44238636,0.20896852,0.11185279,0.23679237
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.43932247,0.18313685,0.11107811,0.26646256
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.031549074,0.031549074,0.014902728,0.9219991
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.54386187,0.15581904,0.0736037,0.22671536
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.4725528,0.13538864,0.10544079,0.28661776
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.65554804,0.12908506,0.069094256,0.14627254
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.118822694,0.092539206,0.10486066,0.6837774
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.55797845,0.14107904,0.1598635,0.14107904
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.6028537,0.17272049,0.07200061,0.15242529
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.47164723,0.1966118,0.1351292,0.1966118
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.33490178,0.10872669,0.26082176,0.29554978
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.52696425,0.15097779,0.17108025,0.15097779
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.5127222,0.16645652,0.078628495,0.2421928
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.43041068,0.23038225,0.108824864,0.23038225
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.3040703,0.12675536,0.06784725,0.50132716
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.655468,0.16572826,0.07828449,0.10051928
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.52774084,0.17133236,0.08093168,0.21999511
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.66701233,0.13134252,0.07030258,0.13134252
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.43495992,0.16001281,0.14121081,0.26381654
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.41829523,0.17437139,0.119843595,0.28748983
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,False,0.74054176,0.1652372,0.025339944,0.06888112
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.4734044,0.2236204,0.10563081,0.19734432
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.42704505,0.1571011,0.122350454,0.2935035
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.3588823,0.19209586,0.169524,0.27949783
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.27570105,0.13023195,0.07898967,0.51507735
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.39948612,0.14696273,0.10100591,0.35254526
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.45169547,0.14664404,0.18829468,0.21336582
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.4313794,0.33595863,0.109069794,0.12359227
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.47495142,0.1979892,0.07283616,0.2542232
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.3919626,0.18515001,0.23773733,0.18515001
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.6028537,0.15242529,0.07200061,0.17272049
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.7019277,0.15662125,0.083833314,0.057617735
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.59421545,0.1502412,0.06262985,0.19291352
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.5710155,0.18538158,0.099227615,0.14437532
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.5045405,0.112578206,0.14455327,0.23832805
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.5323223,0.13459215,0.08163427,0.25145122
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,False,0.48280114,0.17761262,0.13832484,0.20126146
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.49708933,0.14241847,0.12568386,0.23480837
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.54925966,0.1304606,0.1304606,0.18981907
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.26675123,0.1617928,0.18333524,0.38812074
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.33868745,0.33868745,0.058855053,0.26377004
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.4209627,0.15486352,0.22532511,0.1988487
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.3647619,0.15205537,0.11842085,0.3647619
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.47905135,0.19969831,0.064832546,0.25641772
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.55307627,0.17955758,0.10890718,0.15845901
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.50286674,0.18499434,0.12714462,0.18499434
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.56033707,0.1819148,0.07583337,0.1819148
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,False,0.4343997,0.26347673,0.09692767,0.20519587
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.12359226,0.10906978,0.43137935,0.33595857
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.42981482,0.13954043,0.09590465,0.3347401
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.62061495,0.15691604,0.083991095,0.13847792
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.30601364,0.18560666,0.23832366,0.2700561
