0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_52000_correct,llama2_7B_alpacacode_alpaca_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_52000_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,2.4293844e-05,0.00013980143,0.9997125,0.00012337432
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.035663817,0.011578346,0.81170475,0.14105314
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.039531965,0.13798012,0.70072085,0.12176702
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.34758416,0.002066811,0.00097629236,0.6493727
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,8.4808715e-05,0.9998877,3.089157e-06,2.4298102e-05
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,9.6081334e-05,0.00012337088,0.9996846,9.6081334e-05
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,3.120138e-05,1.4738488e-05,0.9999517,2.405992e-06
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,8.4711115e-05,0.0006259352,0.0005523858,0.99873704
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.59741277,0.07135078,0.049038626,0.2821978
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.95836914,0.015490594,0.00060063554,0.025539672
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.7358913,0.03663787,0.12787873,0.09959205
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.0002758296,0.031881567,0.93171597,0.036126547
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.28905383,0.034522556,0.611927,0.06449663
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.023746742,0.7863841,0.014403128,0.17546602
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.9607513,0.001124924,0.015529098,0.022594705
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.004581636,0.9893579,0.00017764932,0.0058829375
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.99051064,0.0016874536,0.0019121354,0.005889792
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.019828392,0.511381,0.017498495,0.45129213
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.6623504,0.032976486,0.2150337,0.08963938
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9981566,0.00037942824,0.00013958385,0.0013243346
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.009492764,0.0044840644,0.01773482,0.9682883
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9759335,0.00010628771,0.022951756,0.0010084298
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.0075548072,0.00079627085,0.0021644887,0.9894845
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.022282297,0.053452447,0.836137,0.08812819
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,8.473791e-05,5.8239453e-05,0.99905294,0.0008039709
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.00048626348,9.5750955e-05,0.9962471,0.0031708363
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,7.483574e-05,0.00010888537,0.9997851,3.119618e-05
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,1.892462e-05,8.939358e-06,0.99995315,1.892462e-05
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.58589303,0.008357315,0.21553801,0.19021162
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.29354382,0.0019778826,0.0003033181,0.704175
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,True,0.0013224275,0.00026040143,0.0016980306,0.9967192
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.0065529165,0.017812673,0.0030953786,0.972539
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.0009105421,0.00017929637,0.0003795704,0.9985306
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.029883128,0.11819007,0.77069604,0.08123076
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,1.3845327e-05,2.144406e-05,0.9999372,2.753472e-05
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,1.8924442e-05,2.4299463e-05,0.99994373,1.30065655e-05
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,5.1397597e-05,0.00037977973,0.99908125,0.00048764682
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.00054794224,0.00017789082,0.00857126,0.99070287
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.00020271473,0.996296,0.0013218661,0.0021793887
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.0021656263,0.9900046,0.0011591761,0.0066705984
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.028235765,0.007139119,0.23641516,0.72821
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.998899,0.0007093925,9.600583e-05,0.00029571875
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.01702623,0.046282098,0.4391123,0.49757943
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.00055225583,3.5304536e-05,0.998502,0.000910516
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.0005356105,0.00041713388,0.75419575,0.24485151
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.0016914206,0.9928392,0.00025938774,0.005209942
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.95148224,0.015379278,0.0044062366,0.028732274
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.99813807,0.0015006398,0.00020308953,0.00015816628
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.8910091,0.064544484,0.009898216,0.03454817
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.00048773314,7.47963e-05,0.9992581,0.00017942699
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,2.4292189e-05,0.9996444,3.534493e-05,0.00029593945
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.9725053,0.004503593,0.00012001668,0.022871133
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.025750136,0.00060558517,0.007377538,0.96626675
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.055097062,0.012293817,0.8618631,0.07074603
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.43396434,0.38297218,0.12433287,0.058730688
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9957189,0.003591123,0.00013924295,0.00055071653
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,True,0.007913319,0.0047996715,0.8071806,0.18010634
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.0002611386,0.00013977742,5.8267895e-05,0.9995408
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,7.484004e-05,0.9998425,5.8285485e-05,2.4297004e-05
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.98902136,0.0085567115,0.0002583903,0.0021634754
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.017813407,0.97257906,0.0045039346,0.0051036268
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.0016961939,0.0011657758,0.9956411,0.0014968858
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.17196932,0.055830266,0.09204855,0.6801519
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.0071722497,0.0005887341,0.16323966,0.82899934
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.31779525,0.11691034,0.31779525,0.24749918
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9973103,0.0001394655,0.0019252618,0.000625041
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.644191,0.0018094,0.009188891,0.34481063
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.008280717,0.0018476776,0.9571207,0.03275087
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.9836062,0.008509861,0.00037389723,0.0075099263
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.89852,0.039478213,0.0113106975,0.050691027
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9936126,0.0011634007,0.00062272354,0.004601339
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.0030780977,0.3557797,0.5865816,0.05456059
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.0024158393,0.020227574,0.0027375044,0.9746191
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.0002611216,0.9994758,0.0001233451,0.00013976832
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.00026115632,4.5382167e-05,0.9996087,8.4785046e-05
