0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_52000_correct,llama2_7B_alpacacode_alpaca_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_52000_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.15331535,0.018310906,0.77859956,0.049774203
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.06744468,0.0008490032,0.00066120434,0.93104506
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,False,0.5721858,0.017278515,0.017278515,0.3932572
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.99471515,0.0014954937,0.0006234146,0.0031659603
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.98609483,0.010954523,0.0021570737,0.00079354306
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,True,0.008509519,0.0027626362,0.0051612835,0.9835666
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.075742066,0.00045037878,0.0010804025,0.9227272
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.05335948,0.00035953335,0.9458194,0.00046164994
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.30626467,0.5721777,0.06833688,0.05322082
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.7156481,0.12436099,0.019071376,0.14091948
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.15969357,0.7156969,0.10975567,0.014853815
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.00020339846,3.1192165e-05,0.99965644,0.00010887135
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.46664628,0.46664628,0.010974469,0.05573295
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.86823636,0.014033734,0.091511436,0.026218466
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,True,0.2602671,0.5509855,0.06580584,0.12294149
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.6871317,0.01615979,0.25278163,0.043926857
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.98697764,0.0009000071,0.002446473,0.009675988
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.18066889,0.004814663,0.004814663,0.8097018
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,True,0.039926957,0.13935879,0.33430433,0.48640993
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.022946559,0.0011424418,0.9757125,0.00019852663
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.06746896,0.00074951246,0.0004011851,0.9313803
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,True,0.22227105,0.0014976506,0.7758022,0.00042908406
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.8597905,0.062283017,0.04850606,0.029420413
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.18973002,0.6622228,0.03297013,0.11507707
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.0024478268,0.0014846819,0.98752373,0.008543754
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.056350455,0.8814694,0.04388578,0.018294314
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.042960014,0.2472178,0.5930447,0.11677743
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.9925517,0.0016909307,0.00054896483,0.005208433
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.0062394873,0.92602205,0.06708082,0.00065763714
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,True,0.017920464,0.0031141099,0.9784242,0.0005411511
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.10502704,0.038637288,0.6043889,0.25194678
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.084858306,0.0010682084,0.8051132,0.10896022
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.044953533,0.9029159,0.030896083,0.021234548
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.3192094,0.0035460962,0.0014782328,0.6757663
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.13218611,0.0031087194,0.0027434353,0.8619617
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.69062567,0.08248348,0.15409942,0.072791405
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.65224546,0.022318613,0.27189636,0.053539567
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.11538605,0.5859787,0.1678857,0.13074952
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.0066921655,5.439068e-05,4.7999605e-05,0.9932054
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.00065094186,0.00069292396,0.9757096,0.022946492
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,True,0.11402346,0.0064327638,0.8425258,0.037018
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.29168975,0.0053424845,0.0032403804,0.69972736
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.45669493,0.2444512,0.16800869,0.1308453
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,True,0.095648184,0.00785128,0.8008524,0.095648184
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.33101687,0.083694175,0.54575455,0.03953433
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.011784581,0.00040324617,0.6434163,0.34439594
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.14672434,0.0073049744,0.18839778,0.65757287
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.11011289,0.81363034,0.035748422,0.040508267
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.05982574,0.0033751375,0.9358321,0.00096699304
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.003169315,0.00080132834,0.99576914,0.00026015323
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.06748478,0.00040127916,0.93159866,0.00051525264
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,False,0.02925306,0.0003682417,0.9687283,0.0016503448
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.0096692685,0.0031391522,0.98629224,0.0008993821
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.0010259933,0.992931,0.0001388531,0.0059041837
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.9362086,0.013354298,0.0038260706,0.04661108
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.713094,0.23150772,0.0037419738,0.051656358
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.0052102413,0.0016915178,0.99289626,0.00020202299
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.25709978,0.121445335,0.33012265,0.29133222
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.02930984,2.8450864e-05,5.3153213e-05,0.9706086
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.6729711,0.005138198,0.31788903,0.004001633
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,True,0.0009109138,6.598637e-05,0.99893826,8.4728184e-05
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,True,0.40828106,0.037976056,0.46264306,0.09109982
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,True,0.058681976,0.12422974,0.81007963,0.007008562
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.032016303,0.00031387678,0.032016303,0.9356535
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.015677784,0.96995014,0.0005364643,0.013835595
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.9860805,0.0014825121,0.0027696972,0.009667193
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.9346329,0.041064903,0.0049045035,0.019397687
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.9893489,0.00033188958,0.0006200514,0.009699235
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.6824132,0.17254108,0.11858564,0.026460031
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.53270066,0.008610304,0.36611947,0.09256949
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.012376425,0.003545905,0.9831812,0.0008965452
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.90903187,0.027450385,0.005405301,0.05811246
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.025802553,0.0008829148,0.005080824,0.96823364
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.06747288,0.00024334522,0.0008493582,0.9314344
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.53062195,0.36469078,0.092208266,0.012479032
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.017969068,0.000256315,0.00069673633,0.98107785
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.24484621,0.00068772264,0.00028668545,0.7541794
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.037080735,0.9563248,0.0026861196,0.003908281
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,False,0.024335181,0.03124699,0.91317093,0.03124699
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.020051608,0.0016459363,0.96614057,0.012161915
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.02032376,0.000328503,0.97925365,9.4117684e-05
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.41747457,0.007646313,0.038831186,0.53604794
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.97916657,0.0018902362,0.0031164726,0.015826754
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.28636315,0.0031812072,0.023506118,0.6869495
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.020143624,0.008397113,0.9705742,0.0008850491
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.00017842917,0.0052144644,0.993701,0.000906138
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.32246295,0.4691808,0.1523207,0.056035656
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.08974952,0.85151976,0.02571367,0.033017002
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.23038225,0.43041068,0.108824864,0.23038225
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,True,0.12802573,0.036679983,0.83483255,0.00046173282
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.213841,0.01989031,0.7463784,0.01989031
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.81888187,0.01699535,0.021822462,0.14230034
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.26817855,0.0012419131,0.0015946479,0.72898483
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.998302,0.00017925532,0.00048726646,0.001031543
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.6271191,0.031222422,0.29623008,0.045428358
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,True,0.020883225,0.8879773,0.026814591,0.06432486
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.51613724,0.010712086,0.017661246,0.45548952
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.16585203,0.05384427,0.74329716,0.037006587
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.5530427,0.027534375,0.29602244,0.12340051
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.7235712,0.09792471,0.14247961,0.03602449
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.0035533453,0.98524415,0.00025740347,0.010945073
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.08132845,0.87436324,0.005891413,0.03841684
