0,1,2,3,4,5,llama_7B_ga_followturn_20000/ckp7500_correct,llama_7B_ga_followturn_20000/ckp7500_choiceA_probs,llama_7B_ga_followturn_20000/ckp7500_choiceB_probs,llama_7B_ga_followturn_20000/ckp7500_choiceC_probs,llama_7B_ga_followturn_20000/ckp7500_choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,False,0.24062313,0.30896622,0.39672047,0.053690277
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,False,0.046255052,0.5635019,0.20730077,0.18294227
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,False,0.2308919,0.5538809,0.1798188,0.03540842
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,True,0.37463313,0.37463313,0.17696416,0.07376964
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.12515067,0.63556755,0.097467445,0.14181429
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,False,0.1875964,0.5778376,0.16555324,0.06901286
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,False,0.085540906,0.23252428,0.38336772,0.2985671
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,False,0.18926768,0.40067968,0.16702813,0.24302451
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,False,0.22210716,0.47020087,0.13471481,0.17297724
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,False,0.3790505,0.09583897,0.22990575,0.29520482
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.43932247,0.26646256,0.18313685,0.11107811
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,True,0.005110825,0.9739508,0.003099872,0.017838532
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.093813896,0.78549415,0.093813896,0.026878132
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.19201899,0.24655724,0.5556253,0.0057984707
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,True,0.2033432,0.48779497,0.29586262,0.012999295
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.050910924,0.7028036,0.2013566,0.04492873
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.13832484,0.20126146,0.17761262,0.48280114
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.0932767,0.41803718,0.11976966,0.3689165
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,True,0.090713255,0.52201873,0.31662038,0.07064755
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,True,0.13847792,0.15691604,0.62061495,0.083991095
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,True,0.18441246,0.16274343,0.64366275,0.009181356
