0,1,2,3,4,5,llama_7B_firstturn_20000_2/ckp15k_correct,llama_7B_firstturn_20000_2/ckp15k_choiceA_probs,llama_7B_firstturn_20000_2/ckp15k_choiceB_probs,llama_7B_firstturn_20000_2/ckp15k_choiceC_probs,llama_7B_firstturn_20000_2/ckp15k_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,True,0.8829757,0.0076392367,0.06808778,0.041297324
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.95194125,0.009934399,0.01275602,0.025368374
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,False,0.3647619,0.15205537,0.11842085,0.3647619
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.96623516,0.006930329,0.012163105,0.014671505
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.9620086,0.00781874,0.0060892403,0.024083413
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.9303452,0.0027816817,0.046319157,0.020554002
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.9907122,0.0003323469,0.00090341264,0.008052029
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.8662716,0.06679969,0.052023653,0.014905026
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,False,0.977558,0.0025794022,0.010859689,0.009002998
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.9912333,0.0031548785,0.0031548785,0.0024570217
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,False,0.8604367,0.075184114,0.04283862,0.02154061
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,False,0.8971689,0.03941885,0.012797426,0.050614804
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.62595075,0.20321645,0.1396685,0.031164251
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.6888571,0.08227225,0.093226664,0.135644
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.5732747,0.08791452,0.12791488,0.21089597
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.7529432,0.06180534,0.027425956,0.15782547
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.9591509,0.0026940575,0.007323208,0.030831857
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.29947343,0.20582488,0.11017012,0.3845315
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.8401035,0.13714314,0.005317616,0.017435791
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.73520356,0.07748988,0.09949898,0.08780754
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.8489727,0.044993903,0.01655233,0.089481056
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.98970896,0.005193516,0.0005142277,0.0045832614
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.9762733,0.004247126,0.0079346765,0.011544886
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.9078929,0.0844472,0.0037103507,0.003949648
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.36712268,0.056300085,0.47139484,0.10518241
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.08831512,0.8379106,0.039189603,0.034584697
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.37427446,0.10723143,0.22700894,0.29148525
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.9737216,0.0069840252,0.0045092255,0.014785182
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.9885811,0.00035302047,0.0058783186,0.0051875976
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.9652686,0.02003351,0.012150939,0.0025469752
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.92426807,0.035837762,0.03366646,0.0062276693
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.9479748,0.008201589,0.009293618,0.03452998
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.0827907,0.8361564,0.044314668,0.03673815
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.68242687,0.014163317,0.06756941,0.23584042
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.9769653,0.00089087704,0.0042501367,0.017893745
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.8483067,0.022606608,0.089410864,0.039675836
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.83165014,0.044075843,0.07735552,0.04691849
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.6366676,0.14205974,0.11063624,0.11063624
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.94747627,0.011926966,0.019664243,0.020932479
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.9911034,0.0055362587,0.00090376934,0.0024566997
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.9283141,0.033813838,0.029840609,0.00803149
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.8087595,0.033381492,0.055036776,0.10282224
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.52407676,0.28051808,0.12447914,0.07092608
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.70140225,0.107563525,0.12974638,0.061287843
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.81548905,0.055494726,0.03161994,0.09739628
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.91446215,0.01674896,0.0065589864,0.06222993
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.80613834,0.0548584,0.096279494,0.042723767
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.50641006,0.21110311,0.15444635,0.12804052
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.8963916,0.025428673,0.030672831,0.047507014
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.8794781,0.003594226,0.09867471,0.018252986
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.8708125,0.06308144,0.049127877,0.016978139
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.9895846,0.0020335545,0.00379918,0.004582686
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.6964101,0.064776234,0.03928877,0.19952485
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,False,0.9313722,0.021903776,0.024820229,0.021903776
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.5081293,0.11337897,0.271982,0.106509686
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.7028391,0.1568246,0.11473533,0.025600912
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.64799535,0.10578234,0.16383888,0.082383364
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.47001126,0.034047503,0.17290749,0.32303372
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.83040714,0.0772399,0.032198377,0.060154494
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.8588992,0.037737396,0.048455775,0.054907586
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.76657957,0.04062723,0.021746188,0.17104703
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.80777097,0.10269656,0.07998016,0.009552267
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.8906373,0.016312592,0.03244146,0.06060863
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.9050354,0.016576301,0.0273297,0.0510586
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,False,0.65501213,0.22636615,0.05376667,0.06485499
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.9189466,0.0074687526,0.007016244,0.06656827
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.92916,0.028058201,0.010987749,0.031794105
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.96387166,0.0053841434,0.009449465,0.0212947
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.96428627,0.0014497457,0.0032670526,0.030996934
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.60304147,0.07666812,0.09844381,0.22184657
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,True,0.9517412,0.016375612,0.014451426,0.017431749
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.8909485,0.022304459,0.0038759338,0.082871124
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.9225837,0.02169709,0.027859613,0.027859613
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.6223923,0.045085948,0.13046052,0.20206119
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.9520472,0.023834035,0.016380876,0.007737778
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,False,0.97007465,0.0006471825,0.0017592245,0.0275189
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.8183047,0.040740993,0.049143016,0.09181125
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,True,0.9923935,0.0011619732,0.0012369141,0.0052076033
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,False,0.83035326,0.017233431,0.025074497,0.1273388
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.5089184,0.34977418,0.034632333,0.106675096
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.9227804,0.0070455153,0.06684599,0.0033280659
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.54092485,0.05031385,0.27199408,0.13676722
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.45973057,0.14925265,0.3159679,0.07504895
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,True,0.41553727,0.08710134,0.41553727,0.08182414
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.8372633,0.025283162,0.068726756,0.068726756
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,True,0.8627247,0.033451468,0.055152144,0.0486716
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.45630217,0.03987124,0.19021504,0.3136116
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.95790416,0.0028640816,0.012058234,0.02717365
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.9628761,0.017635692,0.010048514,0.009439705
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.9414938,0.012616023,0.02508996,0.02080031
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.9533881,0.015410083,0.022421539,0.0087804
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.59873414,0.06310611,0.11789774,0.22026199
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.9061848,0.008883922,0.039814983,0.045116283
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.9392735,0.0076339594,0.011823708,0.041268796
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.3892596,0.011042444,0.06764318,0.5320548
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.30539548,0.046833917,0.14425862,0.503512
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.7203112,0.12517132,0.0915773,0.06294009
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.95791334,0.014545145,0.009996723,0.017544795
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.2938891,0.21501388,0.27608326,0.21501388
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.34972736,0.34972736,0.08842492,0.21212037
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.852997,0.025758278,0.051226452,0.070018254
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.21990804,0.527532,0.14198332,0.11057671
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.79088414,0.11393767,0.04461863,0.05055953
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.4150869,0.17303395,0.12659435,0.2852848
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,True,0.87863684,0.020663558,0.008091966,0.09260764
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,True,0.86550885,0.010895149,0.080504864,0.04309115
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.31397015,0.51764923,0.13088222,0.037498385
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.7966596,0.054213364,0.10128391,0.047843125
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,False,0.9615864,0.0137162935,0.004740224,0.019957088
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.99229443,0.00035434647,0.002459652,0.004891602
