0,1,2,3,4,5,llama_7B_ds_alpacagpt4_20000/epoch1_correct,llama_7B_ds_alpacagpt4_20000/epoch1_choiceA_probs,llama_7B_ds_alpacagpt4_20000/epoch1_choiceB_probs,llama_7B_ds_alpacagpt4_20000/epoch1_choiceC_probs,llama_7B_ds_alpacagpt4_20000/epoch1_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.08294606,0.54087627,0.25549185,0.12068581
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.23331757,0.43589458,0.20590201,0.124885894
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.298013,0.55676156,0.10963286,0.035592575
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.14848427,0.5872667,0.21604334,0.048205785
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.13340132,0.6774678,0.11772626,0.071404584
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.41662928,0.47210282,0.092962556,0.018305413
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.09376512,0.47617856,0.25488,0.17517631
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.12141155,0.48019198,0.29125115,0.10714532
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.046864778,0.6469483,0.23799898,0.06818785
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.07934983,0.58632034,0.24441467,0.08991514
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.14236487,0.49690223,0.30138645,0.05934651
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,True,0.18468855,0.4430448,0.20927955,0.16298708
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.07735682,0.34668922,0.30595216,0.27000183
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.0076916446,0.25471228,0.19837014,0.53922594
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.075618215,0.63314354,0.20555161,0.08568666
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.067847244,0.5013271,0.30407026,0.12675534
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.19033152,0.58626235,0.19033152,0.03307466
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.13577873,0.6895413,0.13577873,0.03890126
