0,1,2,3,4,5,llama_7B_followturn_20000/ckp25k_correct,llama_7B_followturn_20000/ckp25k_choiceA_probs,llama_7B_followturn_20000/ckp25k_choiceB_probs,llama_7B_followturn_20000/ckp25k_choiceC_probs,llama_7B_followturn_20000/ckp25k_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.23727466,0.73085743,0.030166088,0.0017018542
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.47944656,0.4231101,0.094408624,0.0030347602
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.07189818,0.87589914,0.049414847,0.0027877952
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.24373691,0.7507625,0.0050585982,0.00044201536
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.088185005,0.7859844,0.120534614,0.005295921
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.20679319,0.7217791,0.067135915,0.0042918557
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.052604683,0.93244034,0.0124947075,0.0024603538
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.13322996,0.7666854,0.09156752,0.008517106
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.21594177,0.7537108,0.027453914,0.002893621
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.25829417,0.7021163,0.0372108,0.002378807
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.11564939,0.8545398,0.029240744,0.00057010376
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,True,0.19493096,0.7709669,0.033873923,0.00022824068
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.2556293,0.69487244,0.047286663,0.0022116269
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.04570865,0.8102052,0.058691073,0.085395
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.51542157,0.45485795,0.029078094,0.0006424188
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.2897163,0.6949933,0.014424126,0.00086623605
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.116575584,0.86138356,0.021564314,0.00047641777
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.33284098,0.6218288,0.04504513,0.00028512283
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.4945152,0.43640813,0.066925354,0.002151312
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.26180914,0.62804747,0.10913829,0.0010051288
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.24307373,0.7487198,0.004739183,0.0034672606
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.15700376,0.79733086,0.04498233,0.00068302057
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.09400037,0.8918507,0.0127215665,0.0014273202
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.28928864,0.6939674,0.01353021,0.0032137067
