0,1,2,3,4,5,llama_7B_ga_alpacafollowturn_20000/ckp7500_correct,llama_7B_ga_alpacafollowturn_20000/ckp7500_choiceA_probs,llama_7B_ga_alpacafollowturn_20000/ckp7500_choiceB_probs,llama_7B_ga_alpacafollowturn_20000/ckp7500_choiceC_probs,llama_7B_ga_alpacafollowturn_20000/ckp7500_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.07138807,0.31993917,0.59772503,0.010947716
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,True,0.06276189,0.7645963,0.117254645,0.055387173
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.01824938,0.8793044,0.092678,0.00976819
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,True,0.103212595,0.59394747,0.24759413,0.055245724
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.05594877,0.32196295,0.60150594,0.0205824
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.3629944,0.41132656,0.22016725,0.005511779
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.14410281,0.64582396,0.16328987,0.04678333
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.06402396,0.6074424,0.32514048,0.0033931455
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.41717124,0.47271696,0.105477415,0.004634354
A wave transfers,amplitude,wavelength,frequency,energy,D,False,0.4580095,0.4580095,0.054701436,0.029279567
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.15036309,0.59469754,0.2479068,0.007032575
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.14243676,0.2348385,0.5633483,0.05937647
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.070377216,0.85737,0.070377216,0.0018754894
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,False,0.26147965,0.6272571,0.10900094,0.0022622424
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.118300416,0.3643909,0.412909,0.10439975
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.06558196,0.7050725,0.17827025,0.051075283
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.59285253,0.3173311,0.080233864,0.009582569
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.20506352,0.715742,0.07543865,0.0037558693
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.5693915,0.39133668,0.022077704,0.017194133
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.19344929,0.67520434,0.11733292,0.014013419
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.13030015,0.58396477,0.24343273,0.042302266
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.5770869,0.27259657,0.14591043,0.004406113
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.07298595,0.42000514,0.37065324,0.1363557
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.16826595,0.66550475,0.14849418,0.017735101
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.042849995,0.27941707,0.6702867,0.0074462127
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.14904912,0.5895007,0.24574046,0.015709663
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.02041113,0.4099685,0.52641,0.04321036
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,False,0.08255462,0.28814396,0.47506908,0.15423235
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.16209395,0.5657635,0.26724774,0.004894813
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.094642185,0.69931644,0.20035753,0.005683705
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.12419595,0.63071907,0.2047645,0.04032052
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.015966803,0.52874786,0.36340275,0.0918826
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.107781045,0.5473573,0.331989,0.01287261
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.043492317,0.6803343,0.19491905,0.08125435
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.027338635,0.7050727,0.20200671,0.06558198
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.12665905,0.3901373,0.4420835,0.041120175
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.30224028,0.5646592,0.12599249,0.0071080104
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,True,0.011762432,0.38951826,0.5667457,0.031973604
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.58796066,0.31471267,0.07957182,0.017754873
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.48353645,0.42671943,0.08402604,0.0057180435
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.3682112,0.47279257,0.13545734,0.023538955
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.057833806,0.70456,0.22873713,0.008869101
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.044934645,0.79648566,0.15683733,0.0017423054
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.07949687,0.7542453,0.14851971,0.017738149
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.10705828,0.3297627,0.4798019,0.08337707
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.08851385,0.57718277,0.3089437,0.025359642
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.14640275,0.5109958,0.30993462,0.03266687
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.026447585,0.32219756,0.60194427,0.049410593
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.33765805,0.49128956,0.15949836,0.011554023
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.07354227,0.19990861,0.6977496,0.028799566
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.06402396,0.6074424,0.32514048,0.0033931455
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,False,0.2554268,0.47720006,0.2554268,0.01194647
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.08316277,0.6963133,0.19949712,0.02102684
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.055456772,0.6756018,0.24854001,0.020401407
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.15403712,0.6092286,0.19778757,0.03894668
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.05657116,0.88492185,0.05657116,0.0019357587
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.22444886,0.61011523,0.15426129,0.011174651
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.06911656,0.39773837,0.5107062,0.022438863
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.52120245,0.45995954,0.015738951,0.003099183
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.06524546,0.48210236,0.42545384,0.027198354
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.13131486,0.6668719,0.16861162,0.033201598
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,True,0.044121582,0.30626452,0.5049448,0.14466912
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.3198961,0.59764457,0.08088239,0.0015769557
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.11836759,0.60112023,0.2505842,0.029928014
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.030544309,0.69518524,0.25574437,0.018526059
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,True,0.0808444,0.36231947,0.46522743,0.09160871
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.07417439,0.3766886,0.42684412,0.12229289
