0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.04422936,0.056791622,0.28841165,0.61056745
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.1420148,0.20663032,0.38603625,0.26531857
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.04560788,0.031345803,0.49033087,0.43271548
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.08366927,0.17712785,0.4814834,0.25771952
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.19209586,0.169524,0.3588823,0.27949783
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.077141285,0.20969173,0.44391742,0.26924953
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.083991095,0.62061495,0.15691604,0.13847792
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.02028941,0.026052117,0.86272764,0.09093082
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.29807472,0.14080052,0.29807472,0.26305002
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.17076454,0.219266,0.36150852,0.24846093
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.10493966,0.47030693,0.25173718,0.17301625
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.047271207,0.21185486,0.5758812,0.16499272
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.09150909,0.13314494,0.52659845,0.24874748
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.08449057,0.20268233,0.37866044,0.33416668
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.2725977,0.2725977,0.30889365,0.14591102
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.15378492,0.22375575,0.36891085,0.25354847
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.09683735,0.14089751,0.55726045,0.20500466
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.6159436,0.10703495,0.12128649,0.15573493
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.12798232,0.44670215,0.18621315,0.23910244
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.039199594,0.1550374,0.4775488,0.3282142
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.020409223,0.0914678,0.5263608,0.36176217
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.1356439,0.08227218,0.60791373,0.17417021
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.05821487,0.07474937,0.37960863,0.48742712
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.19994426,0.19994426,0.37354502,0.22656651
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.27014002,0.23839775,0.34686667,0.14459553
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.096641116,0.07526418,0.49078408,0.33731064
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.1153672,0.079290636,0.40267107,0.40267107
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.11252062,0.07733422,0.5042824,0.30586275
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.1370871,0.09421849,0.2902134,0.478481
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.07198074,0.023368724,0.22171628,0.6829342
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.15527378,0.22592203,0.3287146,0.2900896
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.09581512,0.09581512,0.4294136,0.37895617
