0,1,2,3,4,5,llama_7B_ga_firstturn_20000/ckp10000_correct,llama_7B_ga_firstturn_20000/ckp10000_choiceA_probs,llama_7B_ga_firstturn_20000/ckp10000_choiceB_probs,llama_7B_ga_firstturn_20000/ckp10000_choiceC_probs,llama_7B_ga_firstturn_20000/ckp10000_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.82926387,0.12717174,0.02837585,0.0151884975
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.66135275,0.27569285,0.03731097,0.025643429
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.81173426,0.15983996,0.016847007,0.011578767
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.63434434,0.1817427,0.12490981,0.05900322
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.6032831,0.2514858,0.08164549,0.06358557
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.62078345,0.29323733,0.05095701,0.035022207
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.7782047,0.19676095,0.018301621,0.00673279
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.73350483,0.16366705,0.087604664,0.015223406
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.83183366,0.14455101,0.017264156,0.006351128
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.71373075,0.23171444,0.03553456,0.01902028
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.613879,0.32858577,0.030563235,0.026971962
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.26617035,0.56348264,0.11095631,0.05939063
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.66006255,0.275155,0.042196386,0.022586098
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.6784311,0.19437377,0.071506105,0.055689014
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.74343556,0.10061306,0.11400954,0.041941766
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.64005965,0.20779695,0.11122569,0.040917642
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.58477193,0.2762267,0.101618126,0.037383217
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.76641476,0.15091601,0.048995256,0.033673916
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.7941527,0.15637794,0.03079264,0.018676681
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.6992169,0.25722754,0.02711158,0.016444005
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.559396,0.38446692,0.031558964,0.024578147
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.6093856,0.19783854,0.11999514,0.072780736
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.737748,0.21136835,0.022278061,0.028605595
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.64098763,0.20809822,0.09829864,0.052615467
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.6029925,0.28483346,0.05608704,0.05608704
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.6764727,0.19381268,0.091550626,0.03816398
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.8627086,0.090928815,0.037904773,0.008457697
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.60921204,0.3260877,0.03436939,0.030330881
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.73805153,0.16468157,0.06864949,0.028617363
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.6522141,0.27188328,0.047246233,0.028656289
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.6722495,0.24730678,0.062528946,0.017914843
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.7767194,0.19638541,0.018266689,0.008628573
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,True,0.81612587,0.16070472,0.016938152,0.006231198
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.8246585,0.14330417,0.02490253,0.007134694
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.76742196,0.171235,0.043294985,0.018048035
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.70503145,0.2288902,0.030976921,0.035101447
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,True,0.7463784,0.213841,0.01989031,0.01989031
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.7568443,0.1913602,0.025897786,0.025897786
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.5549236,0.2970292,0.09643126,0.05161594
